PROTID	C10_+DDM_-RNase_R1	C10_+DDM_-RNase_R2	C10_+DDM_-RNase_R3	C10_+DDM_-RNase_R4	C10_+DDM_+RNase_R1	C10_+DDM_+RNase_R2	C10_+DDM_+RNase_R3	C10_+DDM_+RNase_R4	C10_-DDM_-RNase_R1	C10_-DDM_-RNase_R2	C10_-DDM_-RNase_R3	C10_-DDM_-RNase_R4	C10_-DDM_+RNase_R1	C10_-DDM_+RNase_R2	C10_-DDM_+RNase_R3	C10_-DDM_+RNase_R4
A2AJL3	0	0	0	0	0	0	0	0	32032.045	622557.75	1246966	76221.91	88452.7	0	0	101420.39
A2ARV4	75411.58	0	107719.1	53990.52	1.05E+07	5217503.5	5890978	5806828.5	372055.1	4112850.8	9876404	0	0	3640622.5	2779153.2	3547231.5
A2ASQ1	0	0	0	0	454644.44	0	0	0	284484.03	821789.25	2121673	212964.61	133476.34	0	552820.7	227748.89
B1AZI6	0	0	0	0	0	0	0	0	99391.56	176353.84	0	0	0	0	0	0
B2RQC6	0	297370.3	207319.7	170936.3	942136.8	0	0	0	680644.9	663954.25	842899.56	240395.36	223295.66	0	0	0
B2RXC1	0	0	0	0	0	0	0	769376.44	0	235206.66	936643.8	0	0	0	0	0
B2RXS4	0	0	112796.18	75369.5	117293.98	2.33E+07	2228987	0	507699.2	331275.16	499137.53	138590.39	3410251.8	1.23E+07	5.11E+07	5098674
B2RY56	63358.383	0	0	0	0	0	0	0	276098.38	0	0	165875.16	0	0	0	0
B8ZXI1	0	0	0	0	0	0	0	0	236259.84	249142.47	379614.5	87537.95	0	0	0	0
B9EJ86	0	0	0	0	0	0	0	0	0	1811187.2	3434841.2	0	0	0	0	0
C0HKE1	3.61E+07	1.41E+07	756229.44	6.05E+07	9.84E+07	1.11E+08	1.34E+08	1.07E+08	1.53E+08	1.19E+08	1.73E+08	6.45E+07	2.91E+07	2.03E+07	5.94E+07	5.13E+07
D3YXK2	0	0	0	207383.48	0	0	0	583616.4	847030.4	544926.2	1043880.25	223232.98	0	0	0	0
D3Z4I3	0	0	0	0	0	0	0	0	0	1335538.8	1331291.5	0	0	0	0	0
D3Z7P3	73269.28	506810.9	456211.88	421050.12	646125.44	2102248	0	2043824.6	2493393.5	1656424.8	2104333.5	623776.06	162467.78	0	510437.34	0
E9PVA8	335836.84	1256367.6	1141526.9	750373.44	1150168.6	0	5681281	2610895.2	3167181	2503430.5	5430276.5	1064517.8	887800.4	434701.7	2151120	0
E9PZJ8	0	0	0	0	0	0	0	0	278453.38	148183.7	0	0	53705.457	0	0	0
E9Q414	74960.734	640377.6	390237.6	360138.66	1206274.8	1051917.6	2219810.8	1523877.9	3265221	1062872.4	1454607.9	907200.3	382580.88	0	0	0
E9Q557	1891492.9	7175491	554878.6	865886.1	6.71E+07	0	6257201	1.05E+07	696330.9	681193.8	518079.25	83104.49	2642633.5	319413.4	476486.6	441588.2
E9Q5C9	258870.88	1539186.8	694224.06	1211273.2	976629.7	1717817.5	1018298.3	1376166	1463781.8	2101852.5	2472077.5	725388	391301.34	152464.62	502313.9	298051.25
F6ZDS4	143280.6	209152.73	136973.2	275426.8	212481.03	485177.03	211339.23	228965.36	993723.5	798486.1	765209.7	298466.2	147712.75	50577.83	160207.48	120411.02
G3X9K3	0	0	0	0	0	0	0	0	0	1833084.5	3365304.5	0	0	0	0	0
G5E870	32801.137	30656.418	42249.637	0	424451.72	0	0	0	249520.98	417979.03	515374.5	163205.06	0	0	0	0
G5E897	0	0	0	58192.117	0	0	0	0	239567.94	205594.33	253005.78	32526.67	0	0	0	0
G5E8K5	0	0	0	0	490724.2	0	0	0	788511.2	1586357.1	3939637	0	0	0	0	0
O00762	0	0	0	0	0	0	517277.22	0	1299726.8	0	821261.6	215958.45	555452.4	0	0	0
O08528	0	0	0	152621.38	0	0	0	0	1225299.2	959560.1	741437.9	152025.52	0	0	0	0
O08529	122136.305	0	1151163.4	703648.06	253880.38	407717.4	1678270.2	0	684220.6	792109.6	1667755.1	310836.22	229591.64	0	0	0
O08547	0	0	52015.58	0	405425.25	1051909.4	0	479107.88	563855.4	1199585.5	1458197.4	0	0	0	0	0
O08553	690374.7	2828543.5	2318445.5	1481590	1406451.2	5839165.5	6422992	4598925	5711857.5	7413647	9997445	2969123.2	3918587.5	1220494.1	7054975.5	1.21E+07
O08583	416890.06	301519.8	0	800670.5	2266509	0	3427912.2	3422158.8	4444006.5	4093450.2	4199761	1431636.5	0	145718.95	1058886.5	302117.4
O08709	295452.3	1065413.5	1051126.1	569437.1	2197236.8	4429926.5	0	4458404	5199418.5	8059623	1.07E+07	2848781	758398.9	328073.1	2364137.5	515546.72
O08749	446462.2	0	763785.1	760566.56	5669836	0	1451619.2	1069420.2	2476479.8	2.63E+07	2.41E+07	1677173	0	0	2324459.5	3775599
O08784	100820.16	108035.375	0	333598.12	206597.9	199827.6	185805.47	198936.39	591586.1	305416.38	524274.84	187475.14	82207.3	0	67147.375	36028.46
O08788	35925.38	217161.52	0	0	0	0	0	0	647053.7	1.02E+07	0	939537.5	396051.03	0	0	0
O08795	175115.61	722859.56	468406.56	365087.22	332005.6	0	1550706.1	605016.1	522697.75	726483.2	860077.75	182324.61	331573.1	0	187401.73	0
O08807	0	1145253.9	0	12339.484	495051.1	1113647.8	1451593.8	730087.1	633910.56	165577.89	506755.22	108603.32	475631.5	0	0	0
O08810	146917.25	404319.66	161892.22	383424.84	573342.06	1361325.2	0	999475.6	1392574.4	1173955	1418430.1	398601.84	326888.78	105903.55	393017.47	0
O08848	0	0	161582.1	0	0	0	0	0	106048.07	1763069.8	3855779	0	0	0	0	0
O08997	114564.2	0	1003561.2	859504.3	487551.56	0	0	0	1766006.2	1566065	2265869.8	529235.56	683350.9	0	0	0
O09114	0	0	0	0	0	0	0	0	0	5824907.5	5016410.5	0	0	0	0	0
