Protein	Protein.ID	Entry.Name	Gene	CtrlA1	CtrlA10	CtrlA11	CtrlA12	CtrlA2	CtrlA3	CtrlA4	CtrlA5	CtrlA6	CtrlA7	CtrlA8	CtrlA9	CtrlB1	CtrlB10	CtrlB11	CtrlB12	CtrlB2	CtrlB3	CtrlB4	CtrlB5	CtrlB6	CtrlB7	CtrlB8	CtrlB9	CtrlC1	CtrlC10	CtrlC11	CtrlC12	CtrlC2	CtrlC3	CtrlC4	CtrlC5	CtrlC6	CtrlC7	CtrlC8	CtrlC9	CtrlD1	CtrlD10	CtrlD11	CtrlD12	CtrlD2	CtrlD3	CtrlD4	CtrlD5	CtrlD6	CtrlD7	CtrlD8	CtrlD9	TrtdA1	TrtdA10	TrtdA12	TrtdA2	TrtdA3	TrtdA4	TrtdA5	TrtdA6	TrtdA7	TrtdA8	TrtdA9	TrtdB1	TrtdB10	TrtdB11	TrtdB12	TrtdB2	TrtdB3	TrtdB4	TrtdB5	TrtdB6	TrtdB7	TrtdB8	TrtdB9	TrtdC1	TrtdC10	TrtdC11	TrtdC12	TrtdC2	TrtdC3	TrtdC4	TrtdC5	TrtdC6	TrtdC7	TrtdC8	TrtdC9	TrtdD1	TrtdD10	TrtdD11	TrtdD12	TrtdD2	TrtdD3	TrtdD4	TrtdD5	TrtdD6	TrtdD7	TrtdD8	TrtdD9	TrtdtA11
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		712927.1	645553.1	767985.9	713079.9	321629	342550.47	0	470434.75	0	395976.06	339512.06	485260.47	411942.56	611780.25	628583.94	836569.9	1048671.5	0	338485.38	521546.5	438627.34	341031.12	368168.03	374976.16	612434.5	0	556624.06	716473.3	243543.25	783386.7	0	0	0	271401.03	350034.7	0	677882.75	0	1616847.4	962268.75	1531712.6	0	0	0	0	337852.5	1020535.9	307518.97	0	1334903.2	4093598.5	279451.56	278645.7	643711.44	546765.1	579054.5	420127.06	718740.56	1057459.9	243120.38	887620.94	1188364.5	1822875.9	231333.69	382452.84	305561.8	339275.4	401349.97	350686.8	421058.84	541732.5	245217.97	714389	756427.4	974665.1	267344.78	361299.44	332119.38	279981.38	314311.78	327602.53	399060.34	500141.56	250837.84	494998.16	544959.75	793380.56	295420.66	0	320016.2	435077.6	477390.4	307942.56	884566	580789.7	2146129.5
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		874000000	687000000	770000000	722000000	791000000	946000000	841000000	780000000	646000000	712000000	815000000	695000000	749000000	720000000	718000000	784000000	819000000	872000000	819000000	720000000	721000000	701000000	686000000	801000000	849000000	724000000	736000000	791000000	951000000	921000000	831000000	889000000	778000000	788000000	683000000	662000000	832000000	846000000	690000000	774000000	881000000	852000000	874000000	930000000	872000000	894000000	826000000	721000000	576000000	716000000	780000000	560000000	728000000	512000000	587000000	640000000	581000000	626000000	603000000	623000000	627000000	666000000	654000000	715000000	631000000	620000000	523000000	577000000	594000000	562000000	631000000	579000000	557000000	629000000	685000000	573000000	547000000	600000000	552000000	589000000	533000000	521000000	537000000	663000000	698000000	692000000	703000000	625000000	545000000	641000000	647000000	641000000	628000000	839000000	688000000	679000000
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	0	0	214841.86	21995.408	26534.723	69673.63	0	0	0	0	0	0	24934.387	0	339731.16	421862.9	51129.91	0	0	0	0	0	0	0	196277.45	0	0	0	0	0	0	0	0	0	0	0	19519.645	0	0	0	0	0	0	0	0	23314.121	0	155007.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716172.9	0	0	0	0	0	0	0	0	64370.34	0	0	0	0	0	0	2831167	0	0
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	0	0	95794.71	0	75605.984	53420.516	0	78502.23	0	0	0	0	0	0	178360.56	135346.19	38094.145	0	0	0	0	0	0	0	78125.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146641.2	0	0	0	0	0	0	0	0	0	176302.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130165.25	0	0	149909.75	0	0	0	0	0	39719.332	0	0	0	0	0	0	2740957	0	0
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	24793.635	28988.021	193730.92	34474.57	36154.55	82855.55	0	0	0	42490.54	0	0	45751.926	0	332812.78	317801.03	60099.254	0	25339.217	0	26107.984	19801.473	0	0	221463.97	0	0	26143.936	0	26833.785	0	0	0	23800.982	0	0	29968.56	0	0	0	24324.754	0	0	0	0	48199.406	23274.242	151012.05	0	0	36091.723	0	22259.63	0	0	14403.272	19469.732	24960.453	26912.518	19736.584	27584.525	0	37431.668	21205.197	29137.756	22131.646	30136.787	0	39709.953	23622.418	25806.596	30549.146	23454.568	29226.004	22978.52	19992.338	0	1260909.1	59124.21	0	0	23808.23	22619.94	27333.531	0	23814.463	61194.04	19396.498	0	0	26406.611	50038.254	0	4172274.8	37997.465	46267.707
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287330.25	0	0	0	0	0	0	0	0	184318.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142487.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398308.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794497.1	31541.549	0
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	76300000	62800000	64000000	63400000	70300000	71400000	70900000	63700000	62900000	63800000	62200000	62700000	68100000	62100000	63900000	59500000	66400000	69000000	70600000	65000000	62900000	61400000	59800000	64800000	68200000	68300000	61200000	62100000	69800000	68900000	68800000	67900000	66500000	65300000	65100000	65700000	63700000	65300000	62200000	63200000	70500000	65700000	66400000	67900000	66200000	67400000	66600000	65900000	64700000	124000000	157000000	65000000	67600000	69200000	74700000	81100000	84000000	95200000	112000000	64700000	75100000	85100000	94800000	73100000	66500000	63000000	69400000	66500000	70300000	70000000	72800000	68000000	68800000	72500000	71200000	68700000	64500000	65400000	63200000	62600000	64900000	64600000	65700000	64700000	65100000	66900000	69300000	68200000	66000000	67600000	68200000	67200000	67200000	73500000	65400000	116000000
sp|A2A432|CUL4B_MOUSE	A2A432	CUL4B_MOUSE	Cul4b	69187.79	53095.7	78838.08	48935.05	43857.047	71748.445	0	72466.08	0	44781.36	54832.426	50128.605	68261.13	69744.64	110274.42	28328.686	88191.734	0	61027.457	48775.766	33718.84	58426.266	39279.562	82806.53	68645.09	0	61561.1	74489.47	51246.777	47892.543	0	0	0	62080.832	46844.305	0	0	0	0	0	72588.74	0	0	0	0	51571.92	85704.36	38779.434	0	120390.45	112654.59	45659.863	76386.805	0	110758.695	61728.207	115912.555	126392.3	114848.09	128177.29	72687.61	114660.47	144533.8	0	0	93140.69	94988.67	124478.5	131309.73	46576.887	124806.64	86252.45	101855.82	96054.336	106646.68	71295.92	70042.39	129442.836	83652.44	98771.586	96782.234	139639.3	99710.41	102234.28	96497.57	0	0	99873.78	0	0	0	116279.32	74030.555	0	91758.14	0
sp|A2A8Z1|OSBL9_MOUSE	A2A8Z1	OSBL9_MOUSE	Osbpl9	0	0	27865.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22373.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48909.97	47347.652	0	0	0	0	0	50972.61	0	0	48105.066	0	39129.68	0	0	0	0	0	0	0	0	0	28451.072	0	0	0	0	0	0	26618.783	0	0	47459.516	33734.15	0	35885.203	0	0	0	0	0	0	0	0	0	0	0
sp|A2AAY5|SPD2B_MOUSE	A2AAY5	SPD2B_MOUSE	Sh3pxd2b	56105.996	37880.055	66196.85	28143.62	25555.818	44795.11	0	44574.92	0	43145.16	43534.87	27522.215	36265.523	41443.31	38318.54	52059.11	48347.676	0	45792.402	40833.215	17517.393	40906.1	88720.05	39233.145	32917.934	0	40410.785	42461.266	39413.434	38157.68	0	0	0	51782.44	20889.508	0	0	0	0	0	52262.844	0	0	0	0	32304.184	48872.97	30825.041	0	123274.69	141541.98	10254.708	54842.613	0	48180.57	55625.62	109844.18	78509.61	84425.38	146189.36	57491.79	103375.94	96972.516	0	18749.402	51451.33	43564.734	77987.83	48254.062	91392.11	89398.2	51423.785	73010.09	137625.5	73487.36	57647.324	47651.38	88462.695	58276.15	64884.832	117066.6	110611.72	107929.484	60979.883	65567.23	19719.432	0	50808.86	0	0	11303.571	101742.95	56613.973	57756.05	64172.98	0
