Celltype,SampleID,AnnotationScore
acinar,2308J3_C7,1
activated-stellate,2308J4_A8,1
activated-stellate,2308J4_B12,0.606123983
alpha,227J1_A10,1
alpha,227J1_A12,1
alpha,227J1_B3,0.778204094
alpha,227J1_B5,0.587813782
alpha,227J1_B7,1
alpha,227J1_C1,1
alpha,227J1_C5,0.707991485
alpha,227J1_D2,1
alpha,227J1_D6,1
alpha,227J1_D9,1
alpha,227J4_A11,1
alpha,227J4_A3,1
alpha,227J4_B1,1
alpha,227J4_B10,1
alpha,227J4_B2,1
alpha,227J4_B7,1
alpha,227J4_C12,1
alpha,227J4_C8,1
alpha,227J4_D7,1
alpha,2308J3_A11,1
alpha,2308J3_A12,1
alpha,2308J3_A2,1
alpha,2308J3_A3,1
alpha,2308J3_A6,1
alpha,2308J3_B1,1
alpha,2308J3_B11,1
alpha,2308J3_B12,1
alpha,2308J3_B6,1
alpha,2308J3_B7,1
alpha,2308J3_B8,1
alpha,2308J3_C1,1
alpha,2308J3_C10,1
alpha,2308J3_C2,1
alpha,2308J3_C3,1
alpha,2308J3_C8,1
alpha,2308J3_C9,1
alpha,2308J3_D10,1
alpha,2308J3_D12,1
alpha,2308J3_D6,1
alpha,2308J3_D7,1
alpha,2308J3_D8,1
alpha,2308J4_A1,1
alpha,2308J4_A11,1
alpha,2308J4_A2,1
alpha,2308J4_A4,1
alpha,2308J4_A6,1
alpha,2308J4_B10,1
alpha,2308J4_B11,1
alpha,2308J4_B2,1
alpha,2308J4_B3,1
alpha,2308J4_B7,1
alpha,2308J4_B8,1
alpha,2308J4_C10,1
alpha,2308J4_C11,1
alpha,2308J4_C5,1
alpha,2308J4_C6,1
alpha,2308J4_C7,1
alpha,2308J4_C8,1
alpha,2308J4_C9,1
alpha,2308J4_D10,1
alpha,2308J4_D11,1
alpha,2308J4_D2,0.616239525
alpha,2308J4_D3,1
alpha,2308J4_D4,1
alpha,2308J4_D5,1
alpha,2308J4_D7,1
alpha,2308J4_D8,1
beta,227J1_A1,0.799940225
beta,227J1_A3,1
beta,227J1_A4,0.703030959
beta,227J1_B10,1
beta,227J1_B12,1
beta,227J1_B6,0.529241162
beta,227J1_C3,1
beta,227J4_A2,1
beta,227J4_A4,0.611473268
beta,227J4_B6,0.910393428
beta,227J4_B9,1
beta,227J4_C1,0.733035139
beta,227J4_C3,0.594950407
beta,227J4_C9,1
beta,227J4_D1,0.8
beta,227J4_D4,0.523908951
beta,2308J3_A10,1
beta,2308J3_A4,1
beta,2308J3_A7,0.722907647
beta,2308J3_B9,0.793211568
beta,2308J3_C4,0.748934862
beta,2308J3_C6,0.587393233
beta,2308J3_D3,0.8
beta,2308J3_D4,0.765656695
delta,2308J3_D9,0.892045601
beta,2308J4_A10,1
beta,2308J4_B1,1
beta,2308J4_B4,1
beta,2308J4_B5,1
beta,2308J4_C3,1
beta,2308J4_C4,1
beta,2308J4_D1,0.985067344
beta,2308J4_D12,0.594659103
beta,2308J4_D6,1
beta,2308J4_D9,1
delta,227J1_C7,0.80159559
delta,227J1_D11,1
delta,227J4_A12,1
delta,227J4_C4,0.939724483
delta,227J4_D10,0.422329165
delta,2308J3_B2,1
delta,2308J3_B4,0.739929974
delta,2308J3_B5,1
delta,2308J3_C12,1
delta,2308J4_B9,0.806506594
delta,2308J4_C12,1
ductal,227J1_A5,1
ductal,227J4_A7,1
endothelial,227J4_D3,0.638791484
endothelial,227J4_D6,1
endothelial,2308J3_A8,1
gamma,227J1_C2,1
gamma,227J1_C6,0.788209523
gamma,227J4_B3,0.494159708
gamma,2308J3_A1,1
immune,227J4_B12,1
immune,2308J3_A5,1
immune,2308J3_D1,1
immune,2308J4_B6,1
