Gene	Chip2_1cell_A3	Chip2_1cell_B3	Chip2_1cell_A4	Chip2_1cell_B4	Chip2_1cell_A5	Chip2_1cell_B5	Chip2_1cell_A6	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_B7	Chip2_3cells_A8	Chip2_3cells_B8	Chip2_3cells_A9	Chip2_3cells_B9	Chip2_11cells_A10	Chip2_11cells_B10	Chip2_11cells_A11	Chip2_11cells_B11	Chip2_11cells_A12	Chip2_11cells_B12
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	0	4	0	10	1	548	2	5	0	2	61	20	2	2	1	6	0	15	8	3
LOC118567655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
Gm39586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm46082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	0	2613	2947	1363	0	1923	2560	3563	309	1038	557	2209	2177	1462	911	2102	1404	2109	1811	1377
Lypla1	0	0	0	2558	1117	4483	3772	0	1390	1450	1824	3757	957	1242	537	1956	4706	435	1454	1909
LOC118567656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcea1	0	2816	2571	2814	3294	5260	6391	4	1558	4841	1325	4406	1397	4381	1716	3375	4255	2346	2004	1883
Rgs20	0	1	3	3	3	465	418	1	2	189	2	6	3	203	66	3	350	6	7	214
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	0	18875	0	12724	3705	5402	13485	4	3577	1863	3780	7806	3427	3919	1006	4943	6706	4454	6486	2919
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm46206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	0	364	2	667	1	10	1	0	768	1041	2	86	1	1069	133	1122	614	98	1149	425
Alkal1	0	82	0	14	21	2	12	0	2	0	14	16	4	29	2	21	12	205	2	14
St18	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Pcmtd1	0	0	0	1607	0	5137	3941	0	913	1138	547	1063	30	1553	192	464	407	716	895	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	1	0	28	19	0
Gm39589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	129	325	136	406	23	386	182	337	54	399	298	196	1084	771	936	337	378	441	603	289
Gm30719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	0	0	0	623	58	0	355	11	0	44	0	555	0	0	278	0	1212	129	689	316
Adhfe1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610203C22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vxn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	0	0	2	0	1	717	0	2	919	0	5	0	1	2	1	7	10	6	276	60
Vcpip1	0	1669	0	1	2	0	2	0	1	0	1	3	2	840	0	85	437	660	989	17
1700034P13Rik	0	5	10	10	25	27	8	4	7	6	2	10	10	5	15	15	9	25	22	23
Gm39590	0	2	1	2	0	5	0	0	2	0	1	0	3	2	2	1	4	1	1	0
Sgk3	0	0	1	0	2	0	0	0	0	615	0	1	0	0	28	215	24	10	18	3
Gm6195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	0	0	0	0	0	26	1	3	0	2	1	18	30	11	2	8	47	61	23	5
Snhg6	0	0	0	134	0	486	562	0	321	260	153	141	125	139	156	337	307	442	1036	298
Snord87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcf24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	1	4	5	4	0	0	0	0	5	0	0	10	0	4	6	1	7	4	2
LOC115487608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	0	2304	2563	3005	1706	2813	3222	41	1535	2050	1339	4440	1074	1111	1102	2281	4008	2222	2642	827
Cspp1	0	5	7	2	19	297	3	0	1	75	447	1	74	0	91	187	1	33	837	9
Arfgef1	0	1	0	0	0	262	0	0	1271	709	0	7	498	879	155	599	622	0	456	1
Cpa6	0	1	33	0	3	2	0	1	0	1	1	1	0	1	17	1	4	2	1	1
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	0	1445	0	473	0	0	0	0	0	1	0	0	17	0	0	23	644	7	114	3
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	0	1	0	14	2	0	1	10	0	1	2	1	1	2	2	1	7	184
