PROTID	Chip2_11cells_A10	Chip2_11cells_A11	Chip2_11cells_A12	Chip2_11cells_B10	Chip2_11cells_B11	Chip2_11cells_B12	Chip2_1cell_A3	Chip2_1cell_A4	Chip2_1cell_A5	Chip2_1cell_A6	Chip2_1cell_B3	Chip2_1cell_B4	Chip2_1cell_B5	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_A8	Chip2_3cells_A9	Chip2_3cells_B7	Chip2_3cells_B8	Chip2_3cells_B9
P60710	5782095400.00	6526705200.00	5597514800.00	7088150000.00	6686666200.00	6075367900.00	230233536.00	455080576.00	363066144.00	279395808.00	692367230.00	617165250.00	601121340.00	187445440.00	1205294080.00	523464576.00	2266580740.00	1631159550.00	2103705220.00	1249291900.00
contam_sp|P00761|TRYP_PIG	4314042900.00	4814349300.00	6051996200.00	3712431620.00	4218641660.00	4718106600.00	1975553020.00	3524386300.00	4392740400.00	5174222300.00	3268380930.00	4584543700.00	4782825000.00	2103368060.00	2938316290.00	5253097000.00	3012248060.00	4596524000.00	3679320060.00	4491858900.00
P14069	2031013120.00	2906005250.00	2079968510.00	2724156930.00	2651067390.00	2723360510.00	80426104.00	169471888.00	203298880.00	118740816.00	338325792.00	233798848.00	229947888.00	12074570.00	501597920.00	573358980.00	1348555260.00	493075040.00	691279230.00	638155710.00
P20152	1917567100.00	1973304320.00	1398927740.00	2103874560.00	1882500350.00	1745676800.00	297177024.00	289365344.00	109548504.00	90634088.00	286407808.00	218401824.00	236302976.00	193281008.00	607619580.00	265337888.00	525612576.00	552377220.00	593575300.00	304177984.00
P16858	1390092670.00	2073622530.00	1573216000.00	1793288960.00	2030269180.00	1886857980.00	53577988.00	103837032.00	98205016.00	72248792.00	225359408.00	132339864.00	166918384.00	10325404.00	412905920.00	425501728.00	720559490.00	335587264.00	404687136.00	308076544.00
P10126	1341792130.00	1690068100.00	1283084030.00	2031465340.00	2015849470.00	1733784830.00	62932368.00	142122752.00	147597088.00	131613328.00	245246720.00	171605280.00	196430192.00	13211441.00	345003936.00	393103648.00	691833470.00	364365152.00	578405700.00	389224416.00
P16045	1269419900.00	1761109250.00	1294240770.00	1340555520.00	1766061700.00	1302248700.00	32711996.00	102798880.00	168512240.00	97913616.00	285160192.00	117093848.00	133664272.00	8557684.00	429151904.00	424899488.00	664710850.00	496667456.00	670858560.00	611332990.00
P17742	820701820.00	920322820.00	746589380.00	912946500.00	908258050.00	803022530.00	25777306.00	65068904.00	46565004.00	66410080.00	151670112.00	65157416.00	99192696.00	5616474.00	266798240.00	248376096.00	420718848.00	245714000.00	312979424.00	232735984.00
Q64478	710295360.00	704244930.00	415779168.00	1098414340.00	1037221500.00	639226620.00	212982480.00	165226080.00	91377648.00	70290200.00	75221160.00	135093760.00	83689952.00	161099776.00	373590944.00	275792480.00	193499840.00	266847744.00	260727904.00	198878944.00
C0HKE1	629672960.00	671397630.00	488833440.00	965346300.00	901214080.00	557553150.00	173805440.00	102558424.00	80958864.00	62525664.00	66395496.00	115208640.00	55802440.00	129797400.00	270834848.00	170932432.00	167850128.00	206744384.00	144064944.00	152398208.00
P18760	596074370.00	1038501310.00	670690110.00	1068045310.00	926235460.00	754261120.00	21041816.00	72462768.00	50499508.00	40464608.00	219926080.00	71425656.00	145909504.00	14834718.00	166491712.00	159092048.00	217726304.00	217024192.00	352936608.00	225897520.00
P05213	581941890.00	770321410.00	650933440.00	1017693700.00	967768260.00	773151100.00	19593780.00	86257400.00	73383248.00	56645268.00	155956512.00	134544352.00	166902208.00	9441557.00	236644768.00	203650352.00	262810240.00	221635536.00	392354112.00	194621392.00
P52480	579655810.00	597709890.00	624484670.00	858427580.00	903904000.00	823088000.00	39505456.00	49997244.00	58924008.00	69167840.00	135753888.00	97911248.00	118609296.00	6391326.00	183182368.00	156660944.00	318108992.00	162141984.00	224879840.00	181224752.00
P68433	523585440.00	386122208.00	430393152.00	883442690.00	731748290.00	453140992.00	106480296.00	112492864.00	54290832.00	49575632.00	66742624.00	130296016.00	70648016.00	131006416.00	257706992.00	196153568.00	135490560.00	274192256.00	243946400.00	182107760.00
P41731	471199232.00	563417410.00	362313152.00	426026144.00	436557120.00	452868192.00	71329744.00	36379516.00	49714832.00	35237816.00	39007764.00	37281296.00	33758264.00	14747029.00	104471528.00	218017632.00	274757856.00	56874076.00	162812416.00	179339488.00
P45376	460194720.00	646678460.00	273040768.00	667911550.00	429953568.00	884205570.00	70012032.00	13653731.00	18779848.00	41939712.00	121674808.00	50706900.00	29239342.00	2168868.80	203817168.00	148317472.00	363070880.00	42007492.00	174072496.00	92585248.00
P62806	434840032.00	366020000.00	362537568.00	874555840.00	714228480.00	411107136.00	117395832.00	106643824.00	59265148.00	51715356.00	66345024.00	146215904.00	83265024.00	168783104.00	272126720.00	203377008.00	133442848.00	283103456.00	268578880.00	189029040.00
P07091	430505344.00	1046442240.00	1164189310.00	1069980030.00	755955650.00	528195968.00	13845436.00	33922756.00	42276240.00	40181872.00	64864872.00	41413040.00	75184376.00	3449092.00	137728976.00	88712432.00	245439392.00	103704152.00	130372256.00	133278688.00
P63017	402417856.00	543763390.00	410244320.00	679892420.00	564806400.00	459857600.00	44870688.00	48495588.00	50744484.00	43243132.00	90113224.00	57765528.00	62378864.00	9534778.00	155395744.00	152104160.00	231306864.00	134423056.00	187409312.00	130355512.00
P11499	366856800.00	633049920.00	440692864.00	1130100610.00	638593340.00	492212832.00	35416956.00	44006688.00	43693124.00	27953830.00	76315104.00	66433476.00	56815512.00	4499872.00	149044224.00	151908992.00	331035456.00	127299656.00	174669504.00	128424016.00
P05064	340895520.00	627048580.00	384751520.00	468874848.00	573658050.00	462877824.00	10642530.00	22913838.00	27221430.00	25190634.00	57516456.00	22691596.00	30665772.00	1734673.20	137023040.00	104271664.00	173037168.00	76064344.00	102121968.00	85502736.00
Q60605	339941120.00	370848064.00	257028192.00	436110048.00	310346464.00	275974080.00	9478952.00	39638960.00	29073588.00	18075032.00	61306044.00	46419840.00	33567500.00	4585240.00	59585852.00	93250912.00	162979488.00	109991504.00	141553008.00	83930696.00
P99027	311871424.00	385023776.00	289114496.00	477491168.00	395157152.00	375742592.00	8101645.50	46430252.00	35481736.00	37482144.00	67306472.00	46997496.00	49619212.00	7214955.00	109263424.00	108536672.00	125993256.00	89371328.00	128719536.00	92580680.00
Q61937	310665312.00	333800832.00	240629280.00	462484544.00	422662752.00	218306688.00	61261176.00	30483160.00	19286090.00	21881936.00	39167052.00	38171236.00	24882356.00	35833264.00	128309584.00	71987680.00	56508448.00	92472944.00	118080024.00	66421144.00
Q6ZWY8	308895680.00	21918174.00	378052000.00	510783008.00	17251724.00	14652221.00	148784.75	2897444.00	1601380.90	23426022.00	87873680.00	46551236.00	47350628.00	130799.19	151996912.00	4296405.50	5993958.50	5033790.50	6767522.00	123957472.00
P58252	304826432.00	415508576.00	303717952.00	440584896.00	353102592.00	339820736.00	11371154.00	16457722.00	24229960.00	18472240.00	36265440.00	26122616.00	45842644.00	2778611.00	104698664.00	63104888.00	186026352.00	74681368.00	94573664.00	63640228.00
P63038	294333856.00	382900864.00	365546080.00	348952000.00	340436288.00	308088096.00	35509356.00	22677552.00	14785535.00	14708574.00	41157640.00	24393942.00	30768690.00	18705958.00	103124936.00	59839884.00	119973656.00	57875296.00	73427536.00	59536240.00
Q61749	293122816.00	346199584.00	534693.90	505530816.00	543912510.00	466651264.00	7663983.50	33401152.00	36048968.00	22478968.00	101564.40	44080328.00	44449708.00	4755668.50	179927.12	118022248.00	202929664.00	121895288.00	199721616.00	149752.45
P35700	292663520.00	338093760.00	233683392.00	327896800.00	336054400.00	317018656.00	9435562.00	32927638.00	30141402.00	17647298.00	60339268.00	38201292.00	29363928.00	2315513.00	67803128.00	95964656.00	127613600.00	56494944.00	86231256.00	108626888.00
P99024	287231200.00	386249248.00	371323712.00	436141824.00	397431040.00	333065216.00	6777472.00	25103128.00	21412802.00	15121960.00	50854148.00	35580132.00	45473780.00	3926793.00	114302984.00	93907584.00	133547936.00	89210376.00	152793952.00	84470496.00
P62962	253358384.00	253359648.00	242361024.00	162096112.00	296500864.00	419301920.00	15428745.00	26343842.00	35376868.00	28920478.00	60586236.00	46145444.00	51783440.00	3393902.50	79894432.00	64884944.00	99454736.00	83869696.00	93965664.00	75646240.00
P09411	247587264.00	527193792.00	324861216.00	465504736.00	652085820.00	546038910.00	12189135.00	8025589.00	22510350.00	15575694.00	55590000.00	15821032.00	34730208.00	1806055.50	109416208.00	69092072.00	182355984.00	31244044.00	95639792.00	57342440.00
P07356	243397824.00	313314240.00	213307888.00	275774720.00	303391200.00	291651040.00	14440093.00	19884598.00	12597467.00	16632381.00	26753264.00	20041636.00	24501566.00	4068825.00	62830068.00	53450764.00	94770344.00	58883540.00	81417896.00	59654344.00
P68510	240968192.00	517581216.00	429419456.00	564285180.00	394927840.00	616172740.00	18151638.00	30843244.00	30451138.00	43726392.00	47379680.00	48106076.00	67070200.00	3135495.20	154036160.00	169111840.00	164937584.00	92701304.00	174642832.00	113554080.00
Q8VDD5	239534368.00	273311488.00	209813440.00	329886304.00	313304224.00	224398560.00	22921954.00	72836552.00	59840976.00	36042432.00	139881392.00	88087472.00	62707116.00	9650287.00	89941224.00	109571912.00	153741200.00	155216240.00	181255792.00	109093168.00
P17182	236192416.00	360577056.00	266949968.00	382884224.00	363393216.00	385599296.00	19869602.00	21950078.00	28572920.00	24613850.00	57453436.00	33159740.00	34910572.00	2643509.00	87697640.00	69022712.00	106386296.00	77197560.00	113293824.00	61561176.00
P09103	234392560.00	262225952.00	230509024.00	240427072.00	360049504.00	255179680.00	29695824.00	24474296.00	23093864.00	19286990.00	29121732.00	21329570.00	21159542.00	6218598.00	62311744.00	43931320.00	110337200.00	47621260.00	74558920.00	52410196.00
P17751	226641424.00	373990560.00	236420800.00	327630976.00	415161952.00	347615424.00	11898399.00	20367796.00	26550598.00	19529044.00	39784212.00	23508710.00	22161232.00	2047771.10	93786368.00	66090864.00	115412760.00	37740052.00	72669848.00	65368600.00
O88569	223913712.00	228478080.00	81072984.00	305614688.00	250680880.00	179858944.00	38538220.00	19636226.00	22304644.00	14530979.00	32728588.00	28933260.00	38684656.00	19145576.00	78083760.00	78844832.00	57443368.00	51933056.00	82208368.00	61627824.00
P63101	222449152.00	298658880.00	208876608.00	312715072.00	334875328.00	312662880.00	11377076.00	31008496.00	26022950.00	21070866.00	54161888.00	32822752.00	32105018.00	2204239.00	74474080.00	87570200.00	126781672.00	72850224.00	97588272.00	79552080.00
P14211	222138752.00	266580064.00	203850624.00	269093792.00	301276800.00	234032448.00	34025504.00	14844070.00	25749682.00	25832322.00	29644776.00	25772226.00	22162986.00	6984234.00	74870456.00	57912060.00	116163728.00	42920992.00	67200224.00	59276728.00
