Gene	Chip2_1cell_A3	Chip2_1cell_B3	Chip2_1cell_A4	Chip2_1cell_B4	Chip2_1cell_A5	Chip2_1cell_B5	Chip2_1cell_A6	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_B7	Chip2_3cells_A8	Chip2_3cells_B8	Chip2_3cells_A9	Chip2_3cells_B9	Chip2_11cells_A10	Chip2_11cells_B10	Chip2_11cells_A11	Chip2_11cells_B11	Chip2_11cells_A12	Chip2_11cells_B12
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	0	0.030290595	0	0.090370988	0.014182415	6.095877863	0.018879863	0.098698506	0	0.023193439	0.640476636	0.175084633	0.020009915	0.02194603	0.013648058	0.05480344	0	0.17037578	0.06604264	0.035098317
LOC118567655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0.099451334	0	0	0	0	0	0	0.061387289	0	0	0.095704265	0	0	0	0.057888842	0.082039964
Gm39586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm46082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	0	40.71164448	90.32904966	25.34289982	0	44.01152365	49.72104374	144.7064268	11.14227851	24.76645936	12.03261645	39.78736433	44.81311249	33.0069022	25.58118539	39.50214693	24.84994404	49.28611632	30.7598567	33.1459444
Lypla1	0	0	0	136.909671	93.8226987	295.3445723	210.8847092	0	144.2791138	99.58815992	113.4234486	194.7887118	56.7063577	80.71460489	43.40599433	105.8107942	239.7636634	29.26243153	71.0891628	132.274315
LOC118567656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcea1	0	71.95892521	129.2475037	85.81383799	157.6441971	197.4447751	203.5831692	0.26644328	92.14160345	189.4411994	46.94545345	130.1567601	47.16456875	162.2196383	79.03006761	104.024239	123.5181145	89.9184491	55.82598014	74.33948689
Rgs20	0	0.014969589	0.088348502	0.053593527	0.084107263	10.22517393	7.800225979	0.03902138	0.069290893	4.332703859	0.041511221	0.103832028	0.059333309	4.403358684	1.780642993	0.054167635	5.951918601	0.134719326	0.114233775	4.949266757
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	0	486.3093518	0	391.228547	178.7788954	204.4504753	433.1094378	0.268644785	213.2951084	73.50651794	135.0339909	232.5007868	116.6560345	146.3117088	46.71396102	153.6119577	196.2764894	172.1252785	182.1751883	116.1922007
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm46206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	0	4.902402898	0.052991435	10.72049074	0.02522377	0.197840636	0.016789148	0	23.93895186	21.47067414	0.037347648	1.338986773	0.01779406	20.86236215	3.228362619	18.22674956	9.394097413	1.979714093	16.86996833	8.843287987
Alkal1	0	1.982996452	0	0.404033463	0.951107827	0.071047036	0.361751522	0	0.111937183	0	0.469420188	0.44729937	0.127801373	1.016211817	0.087168813	0.612542367	0.32966163	7.435851844	0.052725985	0.523062207
St18	0	0	0	0.011593765	0.018194731	0	0	0	0	0	0	0	0	0	0	0.01171796	0	0	0	0
Pcmtd1	0	0	0	21.16014209	0	83.26048515	54.20619937	0	23.31463172	19.22875138	8.368246342	13.55891603	0.437330923	24.82967879	3.818086547	6.175160085	5.101465668	11.84958913	10.76542414	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	0	0	0	0	0	0	0	0	0	0	0	0.344848418	0	0	0	0.008177378	0	0.284729297	0.140425366	0
Gm39589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	41.10228759	2.502298167	2.059978439	3.730464795	0.331654511	4.365669809	1.746819859	6.763606915	0.962245196	4.704526586	3.181248562	1.744544241	11.02687428	8.601778063	12.98836839	3.129639758	3.306180562	5.092875606	5.061271457	3.437722061
Gm30719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	0	0	0	40.75233808	5.954065919	0	24.25675252	1.571696606	0	3.693373932	0	35.16790283	0	0	27.46319856	0	75.46836824	10.60575917	41.17078165	26.76009018
Adhfe1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610203C22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vxn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	0	0	0.059326207	0	0.028239103	15.88091635	0	0.07860882	32.07010079	0	0.104530774	0	0.019921221	0.043697508	0.027175126	0.127307887	0.171288257	0.13569647	4.53674347	1.397709737
Vcpip1	0	19.21805744	0	0.013741507	0.043130602	0	0.028708082	0	0.026649523	0	0.015965363	0.039934166	0.030426401	14.01556451	0	1.180540332	5.716282176	11.39897676	12.41469527	0.302426117
1700034P13Rik	0	0.375692589	1.478191474	0.896693122	3.518074309	2.980123563	0.749330907	0.783457381	1.217298139	0.690400677	0.208361877	0.868626036	0.992727534	0.544390811	2.031313406	1.359448109	0.768217514	2.817548589	1.802071118	2.669977988
Gm39590	0	0.06367382	0.06263239	0.075987494	0	0.233834615	0	0	0.147365969	0	0.044142462	0	0.126188452	0.092265442	0.114758262	0.038400746	0.144667167	0.047752894	0.034707037	0
Sgk3	0	0	0.039281716	0	0.074791932	0	0	0	0	18.80549762	0	0.023083018	0	0	1.007635508	5.17808997	0.544393201	0.299496093	0.391815405	0.092546683
Gm6195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	0	0	0	0	0	1.649636181	0.053842842	0.33776991	0	0.132289164	0.059887004	0.898772272	1.71196799	0.688458529	0.155689739	0.416778859	2.306130453	3.95189647	1.082982401	0.333652334
Snhg6	0	0	0	44.10672637	0	196.9078203	193.2307159	0	204.9085776	109.8195081	58.51077963	44.95812013	45.55082726	55.55354403	77.54726089	112.113385	96.19140287	182.8562728	311.5051198	126.9849631
Snord87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcf24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	0.017390696	0.136850074	0.103769134	0.130280478	0	0	0	0	0.133160161	0	0	0.229765288	0	0.125371845	0.125856885	0.019755865	0.182592862	0.075833934	0.053735858
LOC115487608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	0	148.729156	325.4845022	231.4937822	206.2505152	266.7419089	259.2747419	6.899065327	229.3286494	202.6538386	119.844983	331.3346291	91.59786779	103.9216075	128.208933	177.6019283	293.9141015	215.1426312	185.922981	82.47766741
Cspp1	0	0.11392018	0.313759416	0.054380334	0.8107494	9.940197004	0.085206544	0	0.052731115	2.616852575	14.12094704	0.026339097	2.227562111	0	3.736759121	5.1390284	0.025882709	1.127751415	20.78943749	0.316803805
Arfgef1	0	0.015061981	0	0	0	5.796839484	0	0	44.306143	16.35368655	0	0.121885027	9.910119387	19.18444028	4.207623288	10.88222434	10.64269352	0	7.487443603	0.023270157
Cpa6	0	0.028999469	1.882660709	0	0.162934736	0.085197711	0	0.075593214	0	0.044409653	0.040208298	0.033524342	0	0.042021177	0.888509393	0.034978308	0.131773813	0.086993905	0.031613798	0.044803018
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	0	9.908453131	0	3.870618504	0	0	0	0	0	0.010500872	0	0	0.154011935	0	0	0.19022807	5.016524657	0.071995414	0.852176366	0.031781654
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	0	0.013207725	0	0.22760548	0.02759293	0	0.025614335	0.169486117	0	0.012794314	0.029244502	0.016037067	0.019946645	0.026698419	0.025145244	0.016600286	0.084456185	3.146167496
Gm30898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	1.545939099	0	0	0	1.719097685	0	0	0	0	0	0	0	0	0	0
Sulf1	0	0.033075117	0.097602448	0.690749608	0.092916966	1.238937639	0.103077156	0.043108623	0.267920362	0.177278783	0.045859258	0.286769438	0.764727795	0.143780767	0.536496564	1.376351088	0.150293586	1.810768911	1.298047262	0.766495948
Slco5a1	0	0.104425066	0.328694781	0.099695593	0.078228882	0.046018652	0.013017446	0.054441178	0.024168019	3.342245731	0	0.060359409	0.027593208	0.030263065	0	0.062977224	0.059313538	0.140966543	1.901112641	0.11293278
Gm39592	0	0	0	0	0	0	0	0	0	0.679485251	0	0	0	0	0	0	0	0.665520568	0	0
Prdm14	0	0.043292304	0.255505368	0.051664463	0.729718892	0.31797179	0	0.112850494	0	0.066297635	0.300127887	0.150141994	0.057197645	0	0	0.104435813	0.196720567	0.454545671	0.377561161	0.267539504
Ncoa2	0	0.022170562	0.348927146	17.17127778	0.193769697	0.227972586	0.05527487	0.154112617	16.60775661	0.056586494	5.881566095	5.032003806	0.195277806	0.899524282	0.559406862	0.231759501	0.948665183	0.399049462	0.604231458	0.673635057
Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39595	0	0	0	0	0.417143097	0	0	0	0	0.34109081	0	0.257485575	0	0	0	0.268652841	0	0.334080761	0	0
Tram1	0	144.4883824	401.9125769	34.14015099	0	97.94274483	221.3894728	0.099429606	0.882793757	121.9665636	76.9505263	74.21253963	64.75801537	28.79644261	52.04055153	134.0668047	107.2883758	54.40918968	73.35135848	19.62385896
Lactb2	0	0.043426285	0	0	18.21809944	45.03656494	0	0.113199742	51.86073526	34.84747338	47.56696116	20.98452651	0.057374659	27.81333718	54.23866111	25.194544	30.83271455	23.38384396	23.29187218	19.12118287
Xkr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39596	0	0	0	0	0	0.198674904	0	0	0	0	0	0.156352686	0	0.195980692	0	0	0	0	0	0
Eya1	0	0	0	0	0	0	0	0	0	15.08237321	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0.019602861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnb2	0.276897798	0.006691122	0	0.015970192	0	0.019657885	0.008341035	0	0	0.717272682	0.02783209	0.023205471	0.008840287	0.02908696	0	0.008070634	0.022803381	0.030108488	0.014588664	0.031012544
Gm51616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	0	0.033469572	0	0	0	146.0698887	84.98890372	255.8909857	0	19.68197707	0	0	0	6.983784226	5.851200084	5.571062127	18.17427649	21.63695865	11.52985557	17.73623785
Sbspon	0	0	0	0	0	0	0	0	0	0	0	0	0.215885726	0	0	0	0	0.061272454	0.044533119	0
Gm31523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	0	1728.083899	2557.177874	1757.621822	1254.237637	1488.162245	1928.561139	3196.903715	2532.415065	1894.320489	1516.968385	1626.327411	1570.630369	1711.454898	2074.959241	1614.084675	1993.55406	1790.489744	1438.781543	1998.930066
Rdh10	0	11.49471991	0	0	212.4387102	0	0	0	0	0	0	0	0	0	10.57876158	6.194818443	0.222264239	1.467335109	30.98084688	0.075569709
Stau2	0	0	24.35146297	0	0.0213074	15.35859498	0.01418238	0	0	0	0	4.300768483	8.026695607	0	11.33903971	0	0.219713168	10.66539372	0.84338064	0
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130013N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	0	27.42920231	58.80436254	0	39.60408435	45.81082889	0	0	1.300924765	6.025613359	13.4859937	5.042193277	13.90350871	9.516311608	15.06779539	19.8849078	18.03297735	24.79172737	12.32535153	9.541699654
Eloc	0	330.7989428	312.0904115	492.0100729	297.3141133	470.5897816	349.9352104	0.095503046	505.3671569	377.707755	269.028369	196.3956096	327.4610914	262.3646739	419.0984075	371.1154909	231.9906575	324.3889301	279.8215867	194.5455107
D030040B21Rik	0	13.64960707	0	0	0	4.96829782	0	0	0	0.061660606	0	0	0.053197092	0	0	1.894060343	2.058315937	0.603933657	0	0
Tmem70	0	65.84095224	213.8745217	7.748508724	53.06251613	346.5110658	375.3965169	65.88176256	42.72147885	107.2381682	0	104.5873912	44.9477796	38.56660193	44.19679664	138.7019173	101.6779212	215.3000394	83.47609713	62.59155107
Ly96	0	26.80762877	0	104.4179066	0	0	0	0	161.1401656	114.0363307	252.6994187	44.54884752	171.6796327	144.3204415	142.9317003	83.53098472	92.84093391	75.67178558	187.9288765	123.9625212
LOC118567657	0	0	0	0	6.079232407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	0	0	0	0.31701665	0.082918604	62.66271516	5.629512832	0	0.051233722	0	60.09771229	0.025591152	0.292473858	0.064154594	0.119691667	0.427216823	4.928953865	6.806788456	0.168929024	0.171004223
Gm46085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059505534	0	0	0	0	0
Gm31982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0	0	0	0	0	0.026477227	0	0	0	0	0	0	0	0	0	0.043481385	0	0.054070875	0.019649488	0
Gm28784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018777012	0	0	0	0
Gm28154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	0.379659383	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	14.01452608	0	0	0.675128641	0	0	0	0	0	0	1.290342574	0	0	0	0.326315526	0.258510804	0.062628972	0.088757668
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0.16317412	0	0.200852826	0	0	0.316450917	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0.010928441	0.644981911	0.156502281	0.081869206	0.160533655	0.23159446	0.085461838	0.17704862	0.217564933	0.045457454	0.138970018	0.115508951	0.126685338	0.137873024	0.079089388	0.099317841	0.131134504	0.262100297	0.101304021
Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32651	0	0	0.59848728	0.726102723	1.139512849	0.446883931	0	0.793011739	0	0	0	0	0	0.440823778	0.548289472	0.733880931	0.345593787	0	0.331645017	0.47000673
Pkhd1	0	0.007339934	0	0	0.013746575	0.021564034	0	0	0	0.325969876	0	0	2.191633944	0.021271606	0	0.026559637	0	0.132111968	0.008001635	0.011339903
