"run_id","protein_id","concentration","response"
"11cells_A10","sp|A2A432|CUL4B_MOUSE","?",217459.579230769
"11cells_A10","sp|A2A5R2|BIG2_MOUSE","?",9277.6752293578
"11cells_A10","sp|A2A8L5|PTPRF_MOUSE","?",6171.37714285714
"11cells_A10","sp|A2A8Z1|OSBL9_MOUSE","?",69743.4625806452
"11cells_A10","sp|A2AAY5|SPD2B_MOUSE","?",63355.2137735849
"11cells_A10","sp|A2ABV5|MED14_MOUSE","?",3740.008
"11cells_A10","sp|A2ADY9|DDI2_MOUSE","?",105279.091304348
"11cells_A10","sp|A2AF47|DOC11_MOUSE","?",5437.97023255814
"11cells_A10","sp|A2AGT5|CKAP5_MOUSE","?",72185.1755737705
"11cells_A10","sp|A2AHC3|CAMP1_MOUSE","?",67834.6228865979
"11cells_A10","sp|A2AIV2|VIR_MOUSE","?",2846.3386407767
"11cells_A10","sp|A2AJI0|MA7D1_MOUSE","?",124069.951162791
"11cells_A10","sp|A2AN08|UBR4_MOUSE","?",84791.5996850394
"11cells_A10","sp|A2AQ19|RTF1_MOUSE","?",90221.3997619048
"11cells_A10","sp|A2AR02|PPIG_MOUSE","?",1946.11137931035
"11cells_A10","sp|A2AT37|RENT2_MOUSE","?",16201.4641176471
"11cells_A10","sp|A2AWA9|RBGP1_MOUSE","?",217987.61953125
"11cells_A10","sp|A2BDX3|MOCS3_MOUSE","?",28488.2592592593
"11cells_A10","sp|A3KGB4|TBC8B_MOUSE","?",144743.560344828
"11cells_A10","sp|A8C756|THADA_MOUSE","?",19362.7113207547
"11cells_A10","sp|A8Y5H7|S14L1_MOUSE","?",4622.32666666667
"11cells_A10","sp|B0V2N1|PTPRS_MOUSE","?",22073.8238541667
"11cells_A10","sp|B1AR13|CISD3_MOUSE","?",171455.349090909
"11cells_A10","sp|B1ARD6|SLFN9_MOUSE","?",249049.413793103
"11cells_A10","sp|B1AVZ0|UPP_MOUSE","?",184076.571764706
"11cells_A10","sp|B1AXP6|TOM5_MOUSE","?",925930
"11cells_A10","sp|B1AY13|UBP24_MOUSE","?",16079.1115492958
"11cells_A10","sp|B1AZP2|DLGP4_MOUSE","?",28632.8012765957
"11cells_A10","sp|B2RQC6|PYR1_MOUSE","?",300133.267657658
"11cells_A10","sp|B2RWS6|EP300_MOUSE","?",17537.73525
"11cells_A10","sp|B2RXR6|ANR44_MOUSE","?",12644.0367346939
"11cells_A10","sp|B2RXS4|PLXB2_MOUSE","?",922995.71556701
"11cells_A10","sp|B2RY56|RBM25_MOUSE","?",137063.069411765
"11cells_A10","sp|B5TVM2|ILDR2_MOUSE","?",23057.2982857143
"11cells_A10","sp|B8ZXI1|QTRT2_MOUSE","?",43905.7952380952
"11cells_A10","sp|B9EJ80|PDZD8_MOUSE","?",15324.0351666667
"11cells_A10","sp|B9EJ86|OSBL8_MOUSE","?",33588.1844642857
"11cells_A10","sp|C0HKD8|MFA1A_MOUSE","?",74082.3572727273
"11cells_A10","sp|C0HKE1|H2A1B_MOUSE","?",93257826.5714286
"11cells_A10","sp|D3YXK2|SAFB1_MOUSE","?",263168.218431373
"11cells_A10","sp|D3YYU8|OBSL1_MOUSE","?",63230.8928571429
"11cells_A10","sp|D3Z7P3|GLSK_MOUSE","?",1202741.34634146
"11cells_A10","sp|E2JF22|PIEZ1_MOUSE","?",10467.7324561404
"11cells_A10","sp|E9PVA8|GCN1_MOUSE","?",361327.941560694
"11cells_A10","sp|E9PVX6|KI67_MOUSE","?",547.707683615819
"11cells_A10","sp|E9PZJ8|ASCC3_MOUSE","?",32568.6151162791
"11cells_A10","sp|E9Q137|TX264_MOUSE","?",779019.425
"11cells_A10","sp|E9Q1P8|I2BP2_MOUSE","?",47846.290625
"11cells_A10","sp|E9Q414|APOB_MOUSE","?",118298.274980392
"11cells_A10","sp|E9Q4P1|WDFY1_MOUSE","?",67029.7384
"11cells_A10","sp|E9Q555|RN213_MOUSE","?",199111.407022654
"11cells_A10","sp|E9Q557|DESP_MOUSE","?",139394.720676328
"11cells_A10","sp|E9Q5C9|NOLC1_MOUSE","?",1086308.82818182
"11cells_A10","sp|E9Q5G3|KIF23_MOUSE","?",5657.15283018868
"11cells_A10","sp|E9Q7D5|ARHG5_MOUSE","?",9009.42042253521
"11cells_A10","sp|E9Q7G0|NUMA1_MOUSE","?",1253984.96
"11cells_A10","sp|E9Q7X6|HEG1_MOUSE","?",9890.05157894737
"11cells_A10","sp|E9Q912|GDS1_MOUSE","?",118029.082368421
"11cells_A10","sp|E9QAT4|SC16A_MOUSE","?",17484.7873563218
"11cells_A10","sp|F6ZDS4|TPR_MOUSE","?",277901.669027778
"11cells_A10","sp|F8VPU2|FARP1_MOUSE","?",150070.221111111
"11cells_A10","sp|F8VQB6|MYO10_MOUSE","?",10406.2844144144
"11cells_A10","sp|G3X9C2|FBX50_MOUSE","?",810765.5
"11cells_A10","sp|G5E829|AT2B1_MOUSE","?",202638.912307692
"11cells_A10","sp|G5E870|TRIPC_MOUSE","?",69196.5250434783
"11cells_A10","sp|G5E897|PLGT3_MOUSE","?",56371.7107142857
"11cells_A10","sp|G5E8V9|ARFP1_MOUSE","?",984634.115384615
"11cells_A10","sp|O08528|HXK2_MOUSE","?",520168.710545455
"11cells_A10","sp|O08529|CAN2_MOUSE","?",2020384.14210526
"11cells_A10","sp|O08539|BIN1_MOUSE","?",270064.211666667
"11cells_A10","sp|O08547|SC22B_MOUSE","?",2107526.36153846
"11cells_A10","sp|O08553|DPYL2_MOUSE","?",1762699.94
"11cells_A10","sp|O08573|LEG9_MOUSE","?",626621.96625
"11cells_A10","sp|O08579|EMD_MOUSE","?",908294.104166667
"11cells_A10","sp|O08582|GTPB1_MOUSE","?",144316.857666667
"11cells_A10","sp|O08583|THOC4_MOUSE","?",1561708.73333333
"11cells_A10","sp|O08585|CLCA_MOUSE","?",6448890.25
"11cells_A10","sp|O08599|STXB1_MOUSE","?",74419.6814285714
"11cells_A10","sp|O08605|MKNK1_MOUSE","?",17136.8291666667
"11cells_A10","sp|O08663|MAP2_MOUSE","?",870740.41
"11cells_A10","sp|O08665|SEM3A_MOUSE","?",18219.7365384615
"11cells_A10","sp|O08709|PRDX6_MOUSE","?",3029698.85266667
"11cells_A10","sp|O08715|AKAP1_MOUSE","?",12962.8189473684
"11cells_A10","sp|O08734|BAK_MOUSE","?",415369.222727273
"11cells_A10","sp|O08739|AMPD3_MOUSE","?",103359.440789474
"11cells_A10","sp|O08740|RPB11_MOUSE","?",1332674.08833333
"11cells_A10","sp|O08749|DLDH_MOUSE","?",1679058.41923077
"11cells_A10","sp|O08756|HCD2_MOUSE","?",971726.321875
"11cells_A10","sp|O08759|UBE3A_MOUSE","?",63286.8873913043
"11cells_A10","sp|O08784|TCOF_MOUSE","?",191951.794210526
"11cells_A10","sp|O08788|DCTN1_MOUSE","?",692530.583098592
"11cells_A10","sp|O08795|GLU2B_MOUSE","?",2875050.20555556
"11cells_A10","sp|O08807|PRDX4_MOUSE","?",8270855.53125
"11cells_A10","sp|O08810|U5S1_MOUSE","?",721956.237321429
"11cells_A10","sp|O08848|RO60_MOUSE","?",122713.208125
"11cells_A10","sp|O08915|AIP_MOUSE","?",254103.8845
"11cells_A10","sp|O08917|FLOT1_MOUSE","?",182978.649677419
"11cells_A10","sp|O08992|SDCB1_MOUSE","?",431559
"11cells_A10","sp|O08997|ATOX1_MOUSE","?",5849414.075
"11cells_A10","sp|O09005|DEGS1_MOUSE","?",1760241
"11cells_A10","sp|O09012|PEX5_MOUSE","?",31192.2
"11cells_A10","sp|O09044|SNP23_MOUSE","?",64742.9464285714
"11cells_A10","sp|O09061|PSB1_MOUSE","?",1658993.57142857
"11cells_A10","sp|O09106|HDAC1_MOUSE","?",324682.037037037
"11cells_A10","sp|O09111|NDUBB_MOUSE","?",510872.4
"11cells_A10","sp|O09117|SYPL1_MOUSE","?",467766.7
"11cells_A10","sp|O09131|GSTO1_MOUSE","?",2094547.75882353
"11cells_A10","sp|O09159|MA2B1_MOUSE","?",11749.9880851064
"11cells_A10","sp|O09167|RL21_MOUSE","?",5947496.28111111
"11cells_A10","sp|O09172|GSH0_MOUSE","?",868219.833333333
"11cells_A10","sp|O35071|KIF1C_MOUSE","?",47260.05
"11cells_A10","sp|O35074|PTGIS_MOUSE","?",2214499.19433333
"11cells_A10","sp|O35075|VP26C_MOUSE","?",14013.1706666667
"11cells_A10","sp|O35114|SCRB2_MOUSE","?",1490970.53333333
"11cells_A10","sp|O35127|C10_MOUSE","?",119834.607142857
"11cells_A10","sp|O35129|PHB2_MOUSE","?",4874338.67307692
"11cells_A10","sp|O35143|ATIF1_MOUSE","?",12016481.2666667
"11cells_A10","sp|O35166|GOSR2_MOUSE","?",367421.75
"11cells_A10","sp|O35218|CPSF2_MOUSE","?",35703.8804651163
"11cells_A10","sp|O35226|PSMD4_MOUSE","?",1965680.92857143
"11cells_A10","sp|O35250|EXOC7_MOUSE","?",72278.7104651163
"11cells_A10","sp|O35286|DHX15_MOUSE","?",969644.08744186
"11cells_A10","sp|O35295|PURB_MOUSE","?",620996.965625
"11cells_A10","sp|O35309|NMI_MOUSE","?",27390.195
"11cells_A10","sp|O35326|SRSF5_MOUSE","?",784334.528571429
"11cells_A10","sp|O35343|IMA3_MOUSE","?",777843.613684211
"11cells_A10","sp|O35344|IMA4_MOUSE","?",228345.518947368
"11cells_A10","sp|O35345|IMA7_MOUSE","?",403153.501666667
"11cells_A10","sp|O35350|CAN1_MOUSE","?",225100.986666667
"11cells_A10","sp|O35375|NRP2_MOUSE","?",293281.546415094
"11cells_A10","sp|O35381|AN32A_MOUSE","?",3934185.11818182
"11cells_A10","sp|O35382|EXOC4_MOUSE","?",17495.4123076923
"11cells_A10","sp|O35405|PLD3_MOUSE","?",720445.058333333
"11cells_A10","sp|O35435|PYRD_MOUSE","?",47052.0895238095
"11cells_A10","sp|O35459|ECH1_MOUSE","?",232764.673636364
"11cells_A10","sp|O35465|FKBP8_MOUSE","?",415427.736363636
"11cells_A10","sp|O35551|RABE1_MOUSE","?",55756.771
"11cells_A10","sp|O35566|CD151_MOUSE","?",3151117.70833333
"11cells_A10","sp|O35593|PSDE_MOUSE","?",848419.609375
