PROTID	10cellB5	10cellB8	10cellB9	10cellC4	10cellC6	10cellC7	NoCellC4	NoCellC6	NoCellC7	NoCellB5	NoCellB8	NoCellB9
contam_sp|P00760|TRY1_BOVIN	2165855.8	2101218.8	2421264.5	1990444	1865943.6	2196908	4747477	5386416.5	6463565	1945229.1	2504438.5	2857243
contam_sp|P00761|TRYP_PIG	9.07E+08	8.94E+08	7.10E+08	8.55E+08	7.84E+08	6.90E+08	1.69E+09	1.92E+09	1.71E+09	1.94E+09	1.98E+09	1.86E+09
contam_sp|P02539|K2M1_SHEEP	0	82078.67	0	0	0	0	0	0	0	0	0	0
contam_sp|P02662|CASA1_BOVIN	0	2132928	0	0	0	0	0	0	0	0	0	0
contam_sp|P02663|CASA2_BOVIN	795157.25	1095825.5	0	0	892851.2	0	0	0	0	288374.7	0	149035.08
contam_sp|P02668|CASK_BOVIN	15718.7295	1139345.6	0	0	0	0	0	0	0	0	0	0
contam_sp|P02769|ALBU_BOVIN	7.95E+07	8.97E+07	7.71E+07	7.61E+07	8.50E+07	7.82E+07	8.26E+07	8.13E+07	8.44E+07	7.71E+07	7.88E+07	7.54E+07
contam_sp|P15241|K2M2_SHEEP	0	0	0	0	0	0	0	0	0	0	0	0
A2A432	295953.1	326583.44	286661.1	323699	353153.56	332988.56	53280.3	58775.48	69369.22	70992.15	52996.348	38694.35
A2A8Z1	122601.23	0	101692.195	117668.29	129796.73	116815.15	0	61813.91	47798.652	0	0	0
A2AAY5	367074.88	424209.8	319018.75	322116.53	313268.22	361632.16	35703.688	39735.08	45096.445	52452.184	32615.676	35427.07
A2ADY9	0	0	0	230403.7	0	0	0	182639.48	0	0	224446.36	0
A2AEV7	779543.25	1118932.1	769176.25	1071447	964245.44	658512.3	725164.2	1023211.25	702675.56	896303.5	1047696.8	479371.38
A2AF47	136955.75	147966.48	110996.91	269488.06	175755.34	115871.57	117597.46	55564.3	109916.625	40680.99	0	0
A2AGT5	356732.22	477361.75	297562.6	424499.22	345178.28	307134.1	61555.465	74870.69	61412.33	65280.887	78304.76	46508.934
A2AJ15	0	0	0	0	0	0	0	0	0	0	0	0
A2AJI0	314006.34	307851.5	295733.2	339188.44	342815.47	291698.44	96555.35	93784.62	103340.945	127788.555	117383.48	84406.44
A2AKB9	0	0	1071569.4	1018455.06	0	900166.2	480274.22	220838.6	0	113871.42	0	245281.83
A2AN08	343456.88	372428.16	315966.72	394557.8	389246.94	328746.03	120395.78	133010.33	114926.14	143135.22	119878.2	101607.58
A2APB8	255542.16	230504.14	139926.08	151677.53	110500.74	176685.12	22478.117	33085.688	19686.252	23428.69	46595.207	22651.2
A2AQ19	152965.78	234049.31	217953.12	0	174274.47	110548.07	0	0	0	0	0	0
A2AR02	0	258418.56	254690.4	242774.86	195611.89	215639.97	0	0	0	0	0	0
A2ARA8	0	0	0	0	0	0	0	0	0	0	0	0
A2AT37	137449.81	550946.6	178315.75	176528.3	0	172824.72	0	0	0	0	0	0
A2AVZ9	0	0	0	0	0	0	0	0	0	0	0	0
A2AWA9	564314.1	503175.97	545908.56	584079.1	549178.5	413189.62	177811.69	192327.69	178209.81	263549.28	221426.64	136194.69
A2BDX3	122643.586	114822.26	102503.51	128976.85	0	93384.41	0	0	0	32310.621	0	0
A2BE28	0	36874.117	0	0	0	0	0	0	0	0	0	0
A2BH40	173829.16	217534.9	139643.67	124003.95	151155.1	121775.93	75799.516	61046.535	0	54467.76	76685.04	21709.566
A8C756	50454.105	48299.465	0	79213.055	43175.375	0	0	0	0	0	10355.049	0
B1AQJ2	273238.38	255672.55	174735.62	302440.7	261356.12	144635.31	0	98614.836	0	0	62370	45123.297
B1AR13	259664.44	269000.53	253067.22	221505.4	245931.8	200782.97	79822.56	63133.586	30577.184	54449.76	70975.7	33649.473
B1ARD6	0	0	165371.64	172060.56	0	171830.83	0	0	0	0	0	0
B1AVZ0	84687.6	110261.7	78827.89	82582.55	94642.75	105352.445	0	44934.977	36639.234	27668.154	34366.37	0
B1AY13	123205.87	118660.5	80639.62	119323.945	116172.85	74914.81	27888.307	0	36371.79	39335.69	0	0
B1AZP2	92896.9	135231.89	67081.8	114972.87	105672.46	70375.72	26835.662	39764.805	34507.598	37964.28	53256.855	21909.916
B2RQC6	614101.2	671640.06	567739.4	599756.75	703562.2	535818.56	269834.97	234372.1	240848.34	319578.06	306085.1	211519.12
B2RRE7	0	106383.09	68888.5	75128.07	87461.36	64981.15	0	0	0	0	21958.531	0
B2RX12	606449.75	248065.25	538293.9	635203.94	644941	544317.3	261645.2	278337.66	254114.42	319562	294709.03	221895.81
B2RXS4	487580.44	447756.22	511221.22	530169.3	582251.94	474930.6	247587.48	225343.2	229004.9	310442.25	257777.39	179062.06
B2RY56	172870.95	220881.47	227794.47	216473.77	221852.28	169063.83	61627.336	98087.195	43029.76	36323.504	42977.902	38037.06
B7ZMP1	0	0	0	70940.64	0	0	0	0	0	0	0	0
B7ZNG0	39038.004	0	30798.197	48786.957	55501.164	48659.27	0	0	0	0	0	0
B8ZXI1	115121.03	163011	91175.09	167356.12	108856.836	90808.87	56175.31	65473.133	85754.01	89809.24	99917.53	51072.434
B9EJ86	115202.68	116751.875	117110.53	135921.2	125222.96	120004.016	36771.855	48763.656	57900.24	48494.145	42734.625	33822.61
C0HKD8	295435.84	230342.33	201461.92	124840.87	138796.33	235186.67	0	78289.55	0	71123.45	0	0
C0HKE1	1.78E+08	1.88E+08	2.15E+08	1.49E+08	1.23E+08	1.14E+08	1.11E+07	5716640	6160253	3673160.5	5304613.5	6832802
D3YXK2	880168.3	716600.2	789546.4	804287.25	880790.9	794787.8	271314.44	220419.9	216291.84	243823.05	311556.5	223355.86
D3YYU8	136027.77	89473.414	135087.05	125114.15	154218.88	130519.805	52564.145	33649.074	49370.78	59164.633	51448.84	43985
D3Z7P3	1082911.5	1343781.9	904514.5	1181587.9	1306162.2	1150994.9	445824.56	355564.4	403562.78	669072.7	575700.06	403022.78
E2JF22	16484.625	0	24477.514	32208.348	21117.172	28028.852	0	0	0	8173.3887	0	0
E9PVA8	2509036.8	2789449.5	2323125.8	2819420.2	2955421	2454439	749647.8	674559.3	693411.5	950377.7	779608.56	563124.94
E9PVX6	592157.7	646473.1	625078.7	494968.06	365920.78	590670.5	163523.73	122982.94	95472.92	90809.97	158648.75	138619.8
E9PYK3	0	0	0	0	0	0	0	0	0	0	0	0
E9Q137	0	82155.9	0	175313.81	117991.56	0	69141.84	75533.69	64241.55	75977.914	101097.56	0
E9Q236	77076.03	0	0	138946.3	0	96048.336	0	0	31081.484	0	0	20665.215
E9Q3L2	0	188536.53	0	0	0	73012.56	0	0	0	35466.32	0	20605.81
E9Q414	2737124	4664425.5	2415958.8	3516439.2	2294257.2	2864725.2	1236039.9	1469248.6	1403562.2	1954792.5	1506655.9	883458.1
E9Q4P1	179755.61	163839.9	129754.91	126140.95	182335.9	173983.97	69057.234	88194.28	90054.79	82526.74	89750.414	45892.305
E9Q555	333968.53	343612.06	307931.84	315584.56	334513	248399.14	89644.87	93586.734	86949.695	121019.83	143767.75	60403.41
E9Q557	6186868.5	3.29E+07	3840114.2	6830876.5	3124209.8	3883958.8	2716644.5	3607374	3686853.2	2796433.8	2800770.2	2581934.2
E9Q5C9	2741183.8	3052052.5	2804414	2983794.8	2835263	2768420.5	621450.7	518118.94	523977.97	450871.6	568221.9	394433.5
E9Q5G3	112728.48	82079.69	60927.688	84680.516	0	49002.87	0	0	0	0	0	0
E9Q634	183224.94	246849.05	238740.72	319523.22	229199.16	194944.92	44583.98	40781.105	49481.14	58034.043	35325.484	35157.65
E9Q6J5	141127.97	155975.2	153134.52	121276.336	161120.1	122709.94	0	29177.664	28930.65	28096.371	44659.414	27123.955
E9Q7D5	49313.832	0	43583.457	53615.66	53095.03	0	27670.24	29546.049	0	33437.44	37020.977	0
E9Q7G0	1.14E+07	1.12E+07	9184086	1.03E+07	1.04E+07	9878475	3681439.2	3484465	2993530	3879966.8	4317577.5	2657865.2
E9Q7X6	83811.97	227042.56	46650.113	68624.234	56094.363	0	0	0	31550.549	0	0	0
E9Q912	119413.086	198068.72	117497.23	153066.08	144697.69	112790.48	65727.93	53337.19	42057.47	58749.145	63348.113	42663.516
