PROTID	05J_C10_A10	05J_C10_A11	05J_C10_A2	05J_C10_A3	05J_C10_A4	05J_C10_A5	05J_C10_A6	05J_C10_A7	05J_C10_A8	05J_C10_A9	05J_C10_B1	05J_C10_B10	05J_C10_B11	05J_C10_B2	05J_C10_B3	05J_C10_B4	05J_C10_B5	05J_C10_B6	05J_C10_B7	05J_C10_B8	05J_C10_B9	05J_C10_C1	05J_C10_C11	05J_C10_C2	05J_C10_C8	05J_C10_D1	05J_C10_D11	05J_C10_D2	05J_C10_D3	05J_C10_D7	05J_C10_D8	07J_SVEC_A1	07J_SVEC_A10	07J_SVEC_A11	07J_SVEC_A12	07J_SVEC_A2	07J_SVEC_A3	07J_SVEC_A4	07J_SVEC_A5	07J_SVEC_A6	07J_SVEC_A7	07J_SVEC_A8	07J_SVEC_A9	07J_SVEC_B1	07J_SVEC_B10	07J_SVEC_B11	07J_SVEC_B12	07J_SVEC_B2	07J_SVEC_B3	07J_SVEC_B4	07J_SVEC_B5	07J_SVEC_B6	07J_SVEC_B7	07J_SVEC_B8	07J_SVEC_B9	07J_SVEC_C1	07J_SVEC_C10	07J_SVEC_C11	07J_SVEC_C2	07J_SVEC_C3	07J_SVEC_C4	07J_SVEC_C5	07J_SVEC_C6	07J_SVEC_C8	07J_SVEC_C9	07J_SVEC_D2	07J_SVEC_D3	07J_SVEC_D6	07J_SVEC_D8	07J_SVEC_D9
contam_sp|P00761|TRYP_PIG	2311716610.00	3631314430.00	4017580290.00	1501091970.00	3681652740.00	2324994560.00	2042266880.00	3325226500.00	2300049920.00	3464368900.00	3891293180.00	2047442560.00	3718363390.00	1909385090.00	3888325890.00	3151924990.00	2621507840.00	1958643970.00	3907757570.00	3982098940.00	1989789950.00	3586964990.00	3302897150.00	2143993340.00	1929042300.00	3460838910.00	2163809280.00	345643136.00	4812453400.00	3544457470.00	2131845760.00	25291898.00	807888190.00	1889025790.00	1718404860.00	1493943680.00	1566570880.00	341697408.00	1693343620.00	2036195970.00	526710080.00	741442820.00	1754891010.00	1491756030.00	1597038850.00	2153652990.00	125293528.00	1807896190.00	717253500.00	619821630.00	705174140.00	691610300.00	168792976.00	363128832.00	59205752.00	1697192830.00	2045125250.00	1813233920.00	558974210.00	577006020.00	654231940.00	1673738880.00	2020684800.00	87752720.00	345907200.00	1434867460.00	739295100.00	1729513470.00	2066029440.00	614477060.00
P60710	133644496.00	176435248.00	196969984.00	129291328.00	141514416.00	65472960.00	67736656.00	69564888.00	148940480.00	127448552.00	119891616.00	143774832.00	219265648.00	160359040.00	126050560.00	68412872.00	125313552.00	162085120.00	103032928.00	119676880.00	170630208.00	76996512.00	156631840.00	48506780.00	86649608.00	240814432.00	79407256.00	87446336.00	195281904.00	109946768.00	136882064.00	51865208.00	59302808.00	18264552.00	4678601.00	51499292.00	62940148.00	45448744.00	27217232.00	97154952.00	40555624.00	22040130.00	43644880.00	22726132.00	41052616.00	21888142.00	51645448.00	51623780.00	54826204.00	23596838.00	60732040.00	37897768.00	25446196.00	20816924.00	23395312.00	40492204.00	23947894.00	25182900.00	13488119.00	33043432.00	36290900.00	38398624.00	72281536.00	30154306.00	25504384.00	53802268.00	34879164.00	20381798.00	18866928.00	24752858.00
Q64478	93598960.00	60217128.00	76931920.00	60731380.00	74980688.00	68514176.00	39833928.00	72482112.00	56040156.00	55775868.00	87846600.00	64224012.00	66831720.00	100126768.00	59606712.00	57624984.00	28188534.00	67919128.00	62787592.00	22915150.00	56721440.00	51235952.00	48857264.00	55469688.00	70698688.00	116921424.00	59497556.00	52095700.00	112508688.00	112058992.00	71181264.00	54981024.00	52286528.00	358121.16	51047.57	31026966.00	36373880.00	32452508.00	2895579.80	30621670.00	45598300.00	3463317.00	2090777.60	26873314.00	48984192.00	2700708.20	57281436.00	18297394.00	35344580.00	21120630.00	41807444.00	30026032.00	6518443.00	1881245.60	34555184.00	3991459.50	24742082.00	32728034.00	1069642.00	31523450.00	26635954.00	31132402.00	42953668.00	26700806.00	36402220.00	45608628.00	33708788.00	2694598.50	3060000.00	2337106.00
P68433	85897192.00	68626992.00	133946752.00	128313424.00	112268472.00	94484480.00	98775952.00	102695992.00	86488512.00	72819168.00	87720736.00	79696384.00	71928256.00	126967184.00	78887112.00	96412520.00	92122448.00	92057632.00	104075952.00	9802948.00	77405448.00	59231224.00	57498640.00	61113280.00	110809096.00	128435040.00	69373296.00	69221120.00	189007744.00	172426544.00	96559416.00	116775456.00	116621664.00	15143332.00	12474986.00	44245868.00	48347284.00	70261376.00	16136489.00	84501976.00	140430672.00	15264740.00	12274581.00	61776628.00	112935664.00	13668239.00	131983432.00	58194060.00	93040600.00	47038980.00	107533584.00	58115516.00	12860631.00	2995288.00	92745064.00	21456688.00	59097404.00	75129032.00	5143331.00	85600064.00	57962288.00	81281272.00	86843480.00	8116026.00	80052040.00	97120360.00	74799624.00	17183504.00	16410708.00	12121505.00
P18760	72908472.00	57780516.00	50873044.00	51667416.00	35960496.00	48496392.00	28698648.00	26087940.00	37743780.00	55727948.00	44797504.00	47880920.00	71232416.00	50525940.00	34238504.00	32506084.00	30765512.00	48526464.00	41067088.00	50656688.00	52793340.00	29977376.00	48042232.00	16966984.00	37019648.00	49416056.00	33410016.00	30554356.00	71726544.00	40824568.00	41269076.00	8460020.00	9936696.00	4491184.00	770203.10	6804704.00	4075412.20	4416489.00	3156469.20	12103100.00	10332479.00	4546496.50	4933363.00	6740447.50	13242022.00	5785097.00	12753758.00	10878874.00	7865174.00	7261189.00	10937344.00	10126006.00	5150618.50	4125490.20	7481046.50	7180090.50	6053730.00	5432307.00	6791654.00	6494195.00	2971650.20	9235815.00	7628066.50	8555910.00	10305604.00	10856079.00	6598313.00	3760770.00	4763518.00	9295365.00
P20152	67138368.00	65934880.00	94039016.00	50324848.00	78552784.00	16007126.00	29726706.00	29850656.00	53362192.00	29513052.00	29777582.00	60303056.00	100754992.00	52216268.00	21239336.00	35765548.00	52570984.00	56007888.00	53994972.00	37282536.00	79805760.00	23308176.00	69105000.00	15046632.00	74523448.00	68304328.00	42306936.00	27148554.00	97754104.00	50170412.00	68291280.00	7819790.50	6316890.50	2522549.20	505219.50	5006735.00	6400305.00	5022028.50	2728310.80	11950496.00	4465981.50	1336867.90	13565120.00	2603545.00	4955730.00	3774175.50	5759812.50	5306581.00	6676206.50	4078053.00	8598119.00	5493587.50	3960253.00	7524490.50	2212061.50	3015875.80	11540670.00	2242046.80	2765839.20	3972672.80	8218978.00	16655380.00	6877819.00	3172131.80	1150925.50	6186049.50	3433149.00	18906148.00	2172792.20	11475241.00
C0HKE1	61547512.00	53422580.00	75747136.00	79199224.00	88403696.00	66693080.00	53364288.00	55028752.00	70070160.00	72669784.00	91275536.00	56394252.00	56235572.00	84923992.00	72327608.00	63107808.00	45622128.00	67150592.00	48107324.00	19012358.00	52764260.00	59511248.00	59889936.00	54966192.00	85638608.00	139324512.00	46418152.00	40799496.00	97383832.00	127711728.00	57215260.00	88951520.00	115422312.00	7818815.00	6652613.00	67197944.00	64474160.00	63712552.00	8778035.00	58752056.00	81448936.00	4282896.50	5029056.00	59586168.00	106794776.00	7645535.50	114921808.00	44157104.00	78485192.00	48173688.00	92205520.00	58404144.00	13369895.00	3559424.00	72767472.00	10516147.00	52566684.00	59999552.00	3112965.80	47761096.00	55143648.00	61093336.00	82953272.00	47659760.00	72356488.00	99035936.00	67262936.00	8677702.00	8787731.00	6534630.00
P62806	59442388.00	51586672.00	131493664.00	111777112.00	105208272.00	104777152.00	92957280.00	105353808.00	62832564.00	58734744.00	64724440.00	57349856.00	65328832.00	85054208.00	82917240.00	109453776.00	105252320.00	94991912.00	92378840.00	9795437.00	59965476.00	33474214.00	32063992.00	47973608.00	110817480.00	85016432.00	45135048.00	47270412.00	191415856.00	187452176.00	93386360.00	113108208.00	118288944.00	10621177.00	3698676.80	77617856.00	62758464.00	67893536.00	11798282.00	66646216.00	120642216.00	11550995.00	9006663.00	61167056.00	103044272.00	2591473.20	120287168.00	56471564.00	75137688.00	48361764.00	89900776.00	56075732.00	8917868.00	1664892.40	77209096.00	17792594.00	54735148.00	65041900.00	4268892.00	70779120.00	53963472.00	64570392.00	76387840.00	8227721.50	74416576.00	95845664.00	62546644.00	10549107.00	11266205.00	7771854.50
P10126	57668468.00	67009492.00	107723848.00	73482592.00	59699004.00	51452192.00	41744976.00	60483760.00	48977328.00	50062700.00	74668160.00	67941104.00	101295240.00	75506880.00	49878688.00	47398304.00	57369680.00	58049632.00	51401688.00	70909280.00	66732632.00	48751928.00	59124636.00	35836240.00	40247064.00	104713608.00	34429300.00	41411552.00	103505296.00	67489472.00	63746956.00	20007912.00	11146106.00	6531713.50	696737.44	12904622.00	9689076.00	8907583.00	8664365.00	28889268.00	13749387.00	6103776.00	8112357.50	13343335.00	15037346.00	6631065.00	14872070.00	13480218.00	15115137.00	9081626.00	15534652.00	13812228.00	7537991.50	4832500.00	8803168.00	11420172.00	8020111.00	7652505.00	8180069.00	21167382.00	6662927.00	13020500.00	11626480.00	7085601.50	14187637.00	17171368.00	11370152.00	7073977.00	8628051.00	14848634.00
P17742	55516512.00	40930540.00	51952436.00	43098032.00	36457968.00	28475760.00	21093516.00	20814354.00	26994768.00	27747244.00	36661472.00	32033810.00	50638060.00	51093576.00	27785326.00	27658052.00	38161880.00	35677796.00	14773288.00	32510460.00	36152524.00	21572744.00	37115232.00	14176430.00	19913170.00	48458408.00	32203948.00	25164312.00	38770808.00	37806880.00	38220712.00	15167547.00	17678620.00	1938406.10	1250878.00	18906694.00	12167054.00	10890149.00	11026237.00	22426382.00	18939540.00	10619158.00	14109196.00	10873985.00	11340707.00	10026645.00	12361895.00	17355774.00	17147110.00	10457398.00	13766151.00	11208704.00	11251241.00	10767520.00	5935043.50	16622562.00	5633116.50	7234689.00	9119895.00	9471579.00	11671459.00	14239293.00	20878258.00	11856444.00	10165616.00	19524468.00	10357788.00	9974458.00	9142219.00	13126577.00
