"","05J_C10_A10","05J_C10_A11","05J_C10_A2","05J_C10_A4","05J_C10_A5","05J_C10_A6","05J_C10_A7","05J_C10_A9","05J_C10_B1","05J_C10_B10","05J_C10_B11","05J_C10_B2","05J_C10_B3","05J_C10_B4","05J_C10_B5","05J_C10_B6","05J_C10_B9","05J_C10_C1","05J_C10_C11","05J_C10_C2","05J_C10_C8","05J_C10_D1","05J_C10_D11","05J_C10_D2","05J_C10_D3","05J_C10_D7","05J_C10_D8","07J_SVEC_A1","07J_SVEC_A10","07J_SVEC_A2","07J_SVEC_A3","07J_SVEC_A4","07J_SVEC_A7","07J_SVEC_A9","07J_SVEC_B1","07J_SVEC_B10","07J_SVEC_B11","07J_SVEC_B2","07J_SVEC_B3","07J_SVEC_B4","07J_SVEC_B5","07J_SVEC_B6","07J_SVEC_B7","07J_SVEC_B9","07J_SVEC_C10","07J_SVEC_C11","07J_SVEC_C3","07J_SVEC_C4","07J_SVEC_C5","07J_SVEC_C6","07J_SVEC_C8","07J_SVEC_C9","07J_SVEC_D2","07J_SVEC_D3","07J_SVEC_D6","07J_SVEC_D8"
"1810009A15Rik",18.3808331677407,16.5927916609983,18.0708750172423,18.3566680555569,18.652069473936,18.5343066667761,18.6565384158371,18.3851965401897,17.7777719963039,18.4237141061439,17.8971783648663,18.1257488945307,17.8995477691147,18.6757292309124,18.2295770611423,17.7054892896606,18.8298085721375,18.4999796895728,17.9215717324165,18.5884769405807,18.7516760147968,18.0366204020106,18.3951026911312,18.3000669590753,18.1179088980587,18.5265024227266,18.5937017982716,16.5155012552361,16.2842395941987,16.4180592084016,15.9571686311536,16.4066011869728,16.3876113953713,15.2094167748366,16.0094188774853,17.1439228778679,16.3744476261192,16.4393923293944,16.289233873625,16.2478313351185,15.6264912230909,16.4118857256002,16.2356830057252,16.3816437997467,16.3246001494315,16.6706561948183,15.9361742344463,16.386611388637,16.2020361887826,16.3021956995858,16.3145332032218,16.6302429957392,15.7226746546087,16.6586838511361,16.5534797810642,15.9846114617431
"3110082I17Rik",16.5889104209562,16.3817217374579,16.8938918652374,17.2074050258244,17.4489609160094,16.2314362265108,17.0416655546857,15.9274592252541,16.9662596571412,16.7767926437769,16.5849625823839,17.4821875957849,16.7792956129618,16.966582110384,17.6503098876417,16.7650018049802,16.6916673374656,17.3123959935422,16.680729684579,17.1364461857471,17.2435910777236,16.3222597336857,15.8634317617892,17.0436238644766,17.0523534539212,17.2184708800811,17.3105925006537,13.8118556788807,13.6905839687792,14.0175422143054,15.3138530637699,13.8293481907538,16.0158270268008,13.734421949355,16.1103506092138,15.2174495774847,14.0522627004541,15.0854188477701,14.0697108202541,15.9041827072679,15.3263313280629,14.0296377618493,14.6746846403243,16.3598897662228,15.1415295296364,15.711417678279,15.8709510307386,14.676373536794,14.3787564807741,15.7048180340182,14.8984430088379,15.3382662092677,14.9558350999577,15.5231262000586,13.8444537533214,14.3957645621176
"A2m",22.1561108498655,22.2272326738744,22.2864688812956,21.2864544560985,22.0375416080102,22.2113735459355,22.2731186648143,22.0530827153849,21.6756344378505,21.4677557719358,22.727318189343,22.7272212838798,22.9904606838883,20.8493219257857,21.9540243812212,22.6607145151417,22.055080775773,22.0315388657596,22.5264966787868,22.9866874460023,22.888090908924,21.6915207468877,21.5063081515714,22.4129327272602,22.3787242693542,21.7424533357832,21.3423517939095,17.6683630744945,18.9335178297817,17.8106463454742,17.739888334231,17.5194516785045,17.7878440282219,18.6784447189601,17.0210680096186,18.8920534053014,18.5650870761122,17.1649887668193,18.6130871029776,17.6101184520579,18.0622467906105,17.2571983190694,17.9222708802646,17.667921471583,17.7092671084648,17.8164173623696,17.2714816781751,18.3409691845363,18.8134901074972,19.0130882709651,17.2989701559833,17.4089079893869,17.5754629711446,17.5347791777847,17.9115567205297,17.731777110806
"Aars",21.3691110704109,21.3157151575001,21.520486671917,20.7922695691614,21.2233994842644,21.818934466955,21.7919211271401,21.1566862689772,21.3176297266816,20.7676931437704,21.0478042332906,20.1766116001911,20.7888522629788,21.4725336998584,21.9202412819352,21.4622855474676,21.1268330111915,21.0501400192082,20.7877307237511,21.7904598510005,20.8169320116484,21.1790784663463,20.9125677503174,20.3831186398809,21.7674272368853,20.7476540184139,20.8827373239552,18.0531390570882,18.3677573219946,18.3570159674728,17.9450489058974,17.8020375484195,19.3736813145877,18.9429864702251,18.7114431959596,19.1211316210115,18.22815613182,18.6981503081839,18.2317059971691,18.4347085213172,18.3005095092773,18.4722607808797,17.9768914320525,18.0761052909281,18.550836173129,18.5194335196709,18.4368658913325,18.0269610512904,18.5267335951655,17.4012085427896,17.6434711668139,19.3405934729961,18.0455605546657,18.4880217978086,18.202947283814,18.1369476686121
"Abcd3",16.7214744517018,17.4771829676482,17.7091804622281,16.920216831358,16.5374564151624,15.8964910985835,17.6397013471803,16.5624024616896,17.6148777211594,17.673035311343,17.6673019098893,16.6867260315787,17.6583209749563,16.8441269679898,16.7528062652089,16.77899802351,17.9980556658425,17.7296367965165,17.6583491963673,16.7169289884194,17.5123440446645,17.5128561544917,17.0509382992069,17.6731265178099,17.7841352539749,16.5635562524374,17.1185959373358,14.4430863011112,14.3610594709411,13.9865107000752,14.39427820823,14.2242035769511,14.2599271011192,14.8377954281352,14.3850927042894,14.0933781955102,14.1897924267639,14.0319589796632,13.6135369710042,13.9233179258433,14.1444079943847,14.3990741576784,14.5104233995117,14.6351930853156,14.9281960313011,15.0661368345412,15.2993088133523,14.1858417867227,14.258830888798,14.2756371809644,14.3395420078231,14.4780234094853,15.4271668801977,13.1521241756232,13.8037561873162,13.8033854298783
"Abce1",19.2444151282998,19.305825543163,18.9710960646793,19.1479609730724,19.6932063406315,18.6859919232549,19.5638030898121,19.6243988157772,19.1147170186366,19.1998135145142,19.454374773298,19.3544122260706,18.6576338611961,19.15986339339,19.7266978314983,19.6027714272851,19.3807806674832,19.9913103759147,19.6600077846467,19.7457551323391,19.3010404598586,19.2621980105388,19.5724973244508,19.1951015551406,19.2585085234107,19.3846633166864,19.5542578122156,16.8628916137792,14.9603418816432,17.4441528027812,15.5655075322764,16.1227625661543,16.5139359756445,16.3154723184724,16.5460316174801,16.5767229440495,15.7820311492665,17.3661285340604,16.2982089247376,17.7815478558452,16.3851279227118,16.3005700025071,15.5958821358438,16.1700254198004,17.4306587255546,16.5647235230048,17.3181806460407,16.5211310617151,17.1785442784501,16.5418121208041,14.9585098760333,16.9837462583588,15.8149637053958,16.6295629639473,16.4832484070189,15.5341264864336
"Abcf1",19.3012765857085,19.2292161543078,19.1151753912253,19.3326268962488,19.0444163263288,19.2293076987819,19.3524754712702,19.4380020911328,19.1109416317404,19.3647700339915,19.1310381996102,19.1010531656031,18.8734458439768,19.2222716712463,18.6479824873906,19.1536218711093,19.2380217570532,19.286783383527,19.2614432615262,19.2746516956285,18.8277421372979,19.015217311269,19.510661825054,19.1458809549471,19.1103336852493,19.0143414753078,19.2449317309416,16.3350221189945,16.4062632633471,16.3566037668374,16.783443281884,16.0091954306977,16.0247541675006,16.0194850188084,16.6551010813064,15.2373317185408,15.1187282917225,15.7408296528105,16.4838444651191,16.6768042564483,16.7145274686538,15.8744841779545,16.28321403544,16.2870595777302,16.7494098975774,15.4946148367143,16.0983824209778,15.6886221851724,15.99929473653,16.3501802094299,16.7540271825739,17.102491864042,16.695749992534,16.647606692581,15.6362107200839,16.0237233138594
"Abcf2",18.1505429050158,18.0759583144305,18.4366135964641,18.8259494743284,18.9295032792616,19.1938053386712,18.8302626048523,18.660332517525,18.7582866663516,18.4440958912882,17.6617021560958,18.7793712817143,18.1254890633552,17.8858682954524,18.4400213665523,17.2033498912275,18.6967352276457,18.7441814453571,18.772126827041,18.791984249883,18.0284004428857,16.9501730921541,18.2773131474003,18.5523536925684,18.8914342987656,19.0468657891611,17.9584628873823,15.4092167073524,15.6829989995605,16.5397783448746,16.8128671600065,15.2528979238222,16.5369983383041,15.3032853835457,15.5440646651132,15.6132460206754,15.5470851310663,15.0564260949255,15.7809837084532,15.6763606132052,15.981150626878,15.5894641112218,15.3547418021172,15.4698711754973,15.8894018851709,13.6390202010817,16.4003533153071,15.9174236881898,15.0725100798593,15.8071067266555,15.5683616148424,15.8707123243942,15.5911979891806,15.9152312778803,15.757900323242,15.8198471546516
"Abracl",18.6449104867764,18.5571402233504,18.8664323766847,18.3767864581525,18.0420171470917,18.43156047003,17.842882938851,18.1664031690457,18.3935102571655,18.5962007963498,18.7543969416773,18.3420748450448,18.392817055359,18.7825414833523,19.122103149783,17.8906263411834,18.9192747042329,17.8635829278299,18.7550695087259,17.4208167616144,18.3897281604524,18.507300398148,18.4203291573937,18.445057513254,19.0949540692654,18.8059529042807,19.2447010473689,16.3401818666611,16.9610629002716,17.438948873659,16.89411067288,16.1467027171419,16.4279990728643,16.7456812371053,16.205275677989,16.2109314977604,16.9784174412799,16.4104246183567,16.4063892341576,16.3173245500956,15.6597520579616,16.459093386787,16.247790288713,16.0050136963191,16.3094060329848,16.3513714177588,15.8234058387292,16.5010695840085,16.4264760422667,16.9146796586008,17.1803992780658,16.3038476944431,16.0390346961716,16.4593229130923,16.7392718414071,16.1091105172204
"Acaa1a",18.7019091161713,18.5142159527316,18.7403698968038,18.6735126474851,18.8302490571927,18.9332171682682,18.5150830071634,18.576150504068,18.8375888077477,18.675353716695,18.5326463499168,18.596520627256,19.192241582475,19.2809532793443,18.2963086899057,18.8142896293828,18.4101351135941,18.9381289555841,18.7827453037649,18.2297881822525,18.4723472493234,19.1024261979295,19.0696451143244,18.5914976452392,18.334978603857,18.5901668775206,17.7791948734321,17.4177402623208,16.2677760143322,16.8369906861072,16.692805661163,17.3310224224576,16.6966920211005,16.052516096052,16.9267546014941,17.1819750720568,15.7615746234404,17.1738065172116,17.0383003507528,16.9144347586318,16.6318091805851,17.139048001839,16.8307506058569,17.3686369552136,17.6127101453868,18.1875787780204,17.4372126557445,16.689727555212,17.3184635485481,17.2036996947017,17.1657867395718,17.8756725202568,16.4567424792702,17.5216195871421,15.8652345132945,16.4837986842223
"Acaa2",17.7389994561526,19.375499371324,19.8572511814718,18.0004597717654,18.71327930776,18.4270082882356,18.9227714370806,18.3337522029868,18.5346655366574,18.8756268277279,18.8739529737974,18.8928617554013,20.4116832317422,17.8458825162138,18.3656887390237,19.1391406389023,18.9332587340063,18.0827612698512,18.7420591436284,18.6614868313487,18.4695164562659,18.6360599551574,18.0987903526357,18.2917433130393,19.5146337484334,18.1459179147532,17.373345710636,16.485299905281,17.430839359218,16.2080179190694,15.9957862367465,16.7977581523067,15.8790255934622,16.7697977261456,16.1898982863956,15.8405743246212,17.4800502253737,16.0994485239484,15.9016907108625,15.5956900562078,16.1938343391058,14.8428438624557,16.1315593162692,15.545026310249,14.9512399488111,15.8002545597962,16.8852881951698,16.6435610315014,15.4703191075141,15.0810744615798,15.9805743151883,15.7758603470429,16.9437641750527,15.0964457929308,15.8922032775613,16.4342777818834
"Acaca",17.8706888270029,17.6589970579504,18.0348780434769,17.7552490585856,17.6726157699738,18.1195267730321,17.7222435020884,17.7500856741702,17.9139951019013,17.7306850310432,17.5524527142044,17.4042108175761,17.3808519518512,18.0005109204017,16.5203624887688,17.5903194260826,17.9916430078481,17.8611457127315,17.3545976168835,18.1668179362343,17.6275875208324,17.6725862737605,18.1065584281863,17.7466803380743,16.9907512865073,17.5706581729484,17.6044866624488,13.7775381326661,15.1229555241669,16.2047147273529,16.0760728350946,16.7788958757492,15.4053494335353,15.8080011335738,15.8651425804868,16.4844106655461,15.6213598418031,16.2821331266874,15.3065015456459,15.6984841179096,15.6196849189616,15.7163635775117,16.0975870190211,15.7983834924599,15.6049078693942,15.7609735515295,15.3053655184828,15.758708322869,15.2202152043926,15.9847968214828,15.8471314330165,16.0240891793429,15.6220004391943,16.2770083873372,15.7676520883395,17.0201809073055
"Acadl",20.6282489015495,20.2439673889354,20.443752863903,20.0887248835056,20.3424783124569,18.5708021456109,20.3610495238783,20.242628577093,20.1544629575695,20.0984279213277,20.2677848731582,20.4039235004287,20.8799754998926,20.6285530795688,20.5440790879537,20.4807279008603,20.1761186554498,20.1926173768206,20.3423116583406,20.2426674594638,20.3527501684864,20.3299472810766,20.5316174197014,20.4470776513252,17.9909845509213,20.7504325552324,20.3656467158047,19.5454378174908,18.1400039663405,16.408499466904,19.2550796455211,16.552886290897,17.2208815006357,19.0520031184833,16.7207727581591,18.7939130848819,18.4430234212784,16.9830141161679,19.1384735186578,18.325388119944,19.0871635656111,18.7666568754039,19.774925775672,16.4597801800664,18.7802081364009,19.1059286477321,18.416793940106,15.8064984773716,19.049179122262,18.6440549648116,18.9589750837419,19.1062403894339,18.9809331410535,17.3018379006436,19.2132284852251,18.6764575525475
