"","05J_C10_A10","05J_C10_A11","05J_C10_A2","05J_C10_A4","05J_C10_A5","05J_C10_A6","05J_C10_A7","05J_C10_A9","05J_C10_B1","05J_C10_B10","05J_C10_B11","05J_C10_B2","05J_C10_B3","05J_C10_B4","05J_C10_B5","05J_C10_B6","05J_C10_B9","05J_C10_C1","05J_C10_C11","05J_C10_C2","05J_C10_C8","05J_C10_D1","05J_C10_D11","05J_C10_D2","05J_C10_D3","05J_C10_D7","05J_C10_D8"
"1700037H04Rik",16.1854496827048,14.9772075159358,15.7052311913632,15.8221037138863,15.476814073602,15.3298104239114,15.1514785688698,15.8207849718427,15.6002344781168,15.1391191833416,15.6280243215186,15.8479209393505,14.8230609177369,15.9545854377145,14.6895172658301,15.5657560560478,14.5706785510308,15.6143890364986,14.8443697645105,15.5335088957567,15.8159799455774,15.5279872604271,15.7629308609208,15.6743727157847,14.7135781287955,15.6514500310009,15.4122501878926
"1810009A15Rik",18.3808331675725,16.5927916604339,18.0708750174541,18.3566680549015,18.652069473839,18.5343066667884,18.6565384161234,18.3851965402514,17.7777719960218,18.4237141070907,17.897178364971,18.1257488944107,17.8995477688655,18.6757292311332,18.229577061164,17.7054892896615,18.8298085721165,18.4999796897559,17.9215717324487,18.5884769405618,18.7516760148312,18.036620402325,18.3951026910872,18.3000669592669,18.1179088979761,18.5265024226554,18.5937017980059
"3110082I17Rik",16.5889104210059,16.3817217375767,16.8938918651585,17.2074050260209,17.4489609160379,16.2314362265045,17.0416655546306,15.9274592252095,16.9662596572098,16.7767926435286,16.5849625823675,17.4821875958164,16.7792956130338,16.9665821103195,17.6503098876373,16.7650018049892,16.6916673374669,17.3123959934993,16.6807296845821,17.1364461857561,17.243591077709,16.3222597336134,15.8634317618055,17.0436238644097,17.0523534539458,17.2184708800949,17.3105925007303
"4931406C07Rik",15.1926478388634,16.2793633095485,16.3614627197464,15.0116198757258,15.0723446855803,15.4094723029537,15.4257217076531,15.1779286166708,15.1575095322917,15.3958795979719,15.4407969751211,14.8005603594013,15.6071477583762,15.3799131820454,15.2844046858801,15.9411100060272,15.5586874462481,15.1990320075488,15.4191775241936,15.3662689828307,15.4540917712426,15.4116859014554,15.5507060677776,14.960744363554,15.6507665458453,14.5945543387665,15.22057269307
"A2m",22.1561108499008,22.2272326739725,22.2864688812543,21.2864544562152,22.0375416080238,22.2113735459349,22.2731186647644,22.0530827153828,21.6756344379078,21.4677557717792,22.7273181893194,22.727221283896,22.9904606839324,20.8493219257424,21.9540243812189,22.6607145151449,22.05508077577,22.0315388657245,22.5264966787732,22.9866874460066,22.8880909089138,21.6915207468326,21.5063081515784,22.412932727227,22.3787242693701,21.7424533357943,21.3423517939595
"Aaas",17.214802122677,15.2447623289452,17.8546544087771,16.2849844204973,16.7623916553753,16.612588504749,16.0221407392101,16.5263623079916,19.7687789269942,19.5754513709332,14.7164950704559,20.0184193574064,16.1811133673275,15.7249203830747,16.539881502278,14.5538510802998,16.6923049230613,18.4764343299563,17.9435694735696,17.2004569302305,19.9009969144516,18.2526005730028,16.742417967865,16.8513000501023,19.3438381512757,18.3061036877333,18.9257027524904
"Aacs",17.3670334731873,18.7701776684781,18.5787324707754,19.1385819306208,19.1588322667643,16.5736773743184,18.491772612242,18.8492754233991,19.335584589373,18.456151384518,19.5121255839137,18.9087128853602,18.4368115031125,17.8065105225733,17.1475402192802,18.7232861632366,18.4034266402449,19.4371232554062,18.3512953434264,16.9936380362356,17.6220220751316,18.9940074623056,16.8668789882665,17.878017459332,18.1503511928321,17.4876872052389,18.7104146067877
"Aars",21.3691110703918,21.3157151574357,21.5204866719461,20.7922695690888,21.2233994842537,21.8189344669581,21.7919211271695,21.156686268988,21.3176297266516,20.7676931438734,21.0478042332967,20.1766116001756,20.7888522629502,21.472533699883,21.9202412819363,21.4622855474705,21.1268330111797,21.0501400192238,20.7877307237672,21.7904598509989,20.8169320116552,21.1790784663808,20.9125677503106,20.383118639903,21.7674272368787,20.7476540184027,20.8827373239268
"Aarsd1",17.7386045586638,17.2022721850388,17.1724503980367,16.6566045614607,17.3573675397372,17.6594555100821,16.8200428913884,15.7031063699749,17.1806755870976,17.2703682178431,16.329515133505,16.9908552711013,17.3544520027041,17.0365190236511,16.466605527576,16.9441518619786,15.9577727729099,16.8636654248419,17.2534995079098,17.5321937040428,16.9193685112456,17.2710280842892,16.0492960060296,17.3722380939254,16.9818920374498,17.0683735760863,16.9564035855926
"Abcd3",16.72147445158,17.4771829672465,17.7091804623808,16.9202168308754,16.5374564150901,15.8964910985917,17.6397013473863,16.5624024617393,17.6148777209558,17.6730353120366,17.6673019099675,16.6867260314925,17.6583209747744,16.8441269681508,16.7528062652262,16.778998023506,17.9980556658364,17.7296367966528,17.6583491963726,16.7169289884047,17.5123440446865,17.5128561547184,17.0509382991756,17.6731265179527,17.7841352539119,16.5635562523901,17.1185959371407
"Abce1",19.2444151282699,19.3058255430607,18.971096064714,19.1479609729535,19.6932063406136,18.6859919232561,19.5638030898659,19.6243988157861,19.1147170185849,19.1998135146883,19.4543747733201,19.3544122260496,18.6576338611514,19.1598633934297,19.7266978315031,19.602771427284,19.3807806674843,19.9913103759508,19.660007784645,19.7457551323355,19.3010404598628,19.2621980105964,19.572497324444,19.1951015551749,19.2585085233944,19.3846633166752,19.5542578121669
"Abcf1",19.3012765856987,19.2292161542703,19.1151753912402,19.3326268962151,19.0444163263242,19.2293076987838,19.3524754712865,19.4380020911356,19.1109416317244,19.3647700340418,19.1310381996125,19.1010531655946,18.8734458439626,19.2222716712585,18.6479824873906,19.1536218711132,19.2380217570428,19.2867833835336,19.2614432615429,19.2746516956282,18.8277421373025,19.0152173112876,19.5106618250502,19.1458809549564,19.1103336852475,19.0143414753,19.2449317309282
"Abcf2",18.1505429050914,18.075958314684,18.4366135963637,18.8259494746255,18.929503279306,19.1938053386639,18.8302626047264,18.6603325174909,18.7582866664762,18.4440958908607,17.6617021560538,18.7793712817707,18.1254890634686,17.8858682953529,18.4400213665431,17.2033498912255,18.6967352276617,18.7441814452783,18.7721268270207,18.7919842498914,18.0284004428684,16.9501730920136,18.2773131474219,18.5523536924799,18.8914342988011,19.0468657891949,17.9584628875015
"Abcf3",16.0072004295721,17.3957048769808,16.7872580622955,17.0475126058202,17.4344650524618,17.422449184092,17.2075782867399,16.0062222648098,17.4074538191764,17.2614959194959,15.9005404726066,17.2270629781055,17.1531029101281,17.4385436780733,17.6138647722554,16.7323195320549,17.3150306924085,17.5095749009345,15.5890940996014,17.5782747631065,16.0477072444636,16.1925599598296,17.6506111750668,17.4210772394293,17.2233239858026,15.5308291043134,17.4088340080898
"Abhd12",15.4477488490126,16.1881809766118,15.7134184700039,16.0802873712922,15.433009384899,14.5120786964191,16.1380176342611,15.1700016338346,15.6202694054355,15.6402326874763,15.9323105249389,16.1709228829976,16.4743744312884,15.6709211393057,15.7861442285024,16.9902656834202,15.7994920209553,15.6775092463574,15.8822475447779,15.2563040448595,15.6836412398914,15.9668793250712,15.5072411103979,15.4678398580089,15.8169124821076,15.6537808022248,15.6189949248331
"Abi1",18.1681645027976,17.8766848123448,17.4962860190543,17.24190721083,16.4493370933581,15.3593151168775,17.4402407245115,17.0217729612356,16.3872457910908,18.0527757152402,17.2817734421923,16.0474094767512,18.1524146012663,17.2610974122696,15.3396584521668,16.7174039297147,17.8941893959522,17.0102715694974,17.7681048803032,17.4425894291869,16.4836105455939,17.851912107942,15.5815979946387,16.0140898693703,17.474742019916,16.5170255646445,17.8381154993772
"Ablim1",15.4230655053727,15.5640367032352,15.829776640767,17.05397205307,15.3887053588992,16.6013635028536,15.9772504752969,16.9199669032355,16.2002000847584,16.5087430683705,17.0487720232096,16.4140500925543,15.1044390194345,16.5380102934395,17.4965588650084,15.6391572220854,16.9093695123113,16.6033156722768,17.0584008324169,16.2519211848816,15.7349732983826,15.6674022670987,16.5643735753059,16.9839814833591,17.0535393257734,17.1034250982642,17.5502782162088
"Abr",17.3244855105165,17.9079763112834,16.5341240119221,16.6482475971226,17.5804371367079,16.0154702244973,17.1927608957915,17.1544491227664,17.0411774457448,17.5437251861597,16.1309136580078,18.1488403152242,18.1158430364294,18.0309378375069,16.0951164531187,18.2049825350058,17.0165408837358,17.1918957264529,17.9356658495956,15.5830319611074,17.6561558007554,17.5859955355114,17.3105410164799,16.1253266017726,15.0977874398424,17.6540737595674,16.846630710238
"Abracl",18.6449104867959,18.5571402234302,18.8664323766612,18.3767864582209,18.0420171471011,18.3774575281196,17.8428829388122,18.1664031690464,18.393510257201,18.5962007962419,18.7543969416659,18.3420748450606,18.3928170553871,18.7825414833275,19.1221031497817,17.8906263411772,18.9192747042461,17.8635829278109,18.755069508702,17.4208167616149,18.3897281604463,18.5073003981074,18.4203291573991,18.4450575132368,19.0949540692714,18.8059529042944,19.2447010473973
"Acaa1a",18.701909116121,18.5142159525539,18.7403698968744,18.6735126472814,18.8302490571611,18.9332171682747,18.5150830072498,18.576150504096,18.8375888076649,18.6753537169924,18.5326463499409,18.5965206272141,19.1922415823964,19.2809532794113,18.2963086899118,18.8142896293875,18.4101351135748,18.9381289556347,18.7827453037847,18.2297881822474,18.4723472493355,19.1024261980268,19.0696451143082,18.5914976453002,18.3349786038345,18.5901668774945,17.7791948733517
"Acaa2",17.7389994561037,19.3754993711706,19.8572511815395,18.0004597715536,18.7132793077259,18.2241525272517,18.9227714371593,18.3337522030243,18.5346655365794,18.875626828026,18.8739529738251,18.8928617553634,20.4116832316641,17.8458825162806,18.3462356678235,19.1391406388966,18.9332587340073,18.0827612699068,18.7420591436109,18.6614868313411,18.4695164562727,18.6360599552477,18.0987903526212,18.2917433131064,19.5146337484049,18.1459179147371,17.3733457105529
"Acaca",17.8706888269986,17.6589970579779,18.0348780434809,17.7552490585798,17.6726157699757,18.1195267730297,17.722243502077,17.7500856741723,17.9139951019003,17.7306850310259,17.5524527142094,17.4042108175846,17.3808519518521,18.0005109204053,16.5203624887686,17.5903194260706,17.9916430078696,17.8611457127355,17.354597616863,18.1668179362311,17.6275875208333,17.6725862737512,18.1065584281879,17.7466803380793,16.990751286502,17.570658172958,17.6044866624448
"Acad8",14.8328834522563,15.0591619564985,14.6406596380358,14.0883644729424,14.3191733423926,14.7455324604888,15.1887714159628,14.8675691177239,14.468768797686,14.4658461319996,14.3713285050043,14.6462094947959,15.1393238405739,15.4831553523074,14.561617420961,14.6553956711765,14.1114428264512,14.8678709719788,14.4843399926972,14.708641245467,14.4986252305367,14.5351935186409,14.6757937080682,13.9455697136463,14.0086818575848,14.1238552334242,14.4694466049935
"Acad9",17.4606190690745,15.5709355600234,17.4912473591197,17.3604532549579,18.1603010715511,17.327152515856,17.1155902198842,17.7986699946548,14.6622329254079,16.8040907509572,17.6759707317208,18.0651674178665,17.6644763594548,16.5138446055159,16.553737559092,17.7659709300765,17.0921867814481,17.1405027463267,17.1468894942936,16.2846554596759,17.0932218811321,17.8628366069496,15.9693786521525,17.0213568208722,17.7304525024585,17.3160499583497,17.0164318120957
"Acadl",20.6282489015522,20.2439673889724,20.443752863892,20.0887248835195,20.3424783124603,18.5708021456066,20.3610495238655,20.2426285770883,20.1544629575759,20.0984279212931,20.2677848731655,20.4039235004404,20.8799754999014,20.6285530795646,20.5440790879548,20.4807279008485,20.1761186554776,20.1926173768244,20.3423116583077,20.2426674594615,20.3527501684818,20.3299472810619,20.5316174197063,20.4470776513223,17.9909845509163,20.7504325552454,20.3656467158081
"Acadm",17.9252934007117,17.5277288741305,17.1808174710524,17.1918016257132,17.1626649357551,17.1428186040166,17.1683154014667,17.4569299805284,17.3936460064577,17.3288310128984,17.5490362390743,17.6435346041928,18.1090996306728,17.4779005697317,17.0819519717692,17.7259377802135,17.357752173539,17.1479255517053,17.4672725587495,17.1434849979187,17.2469521211902,17.6034879303387,16.8707922354553,17.4077453156359,17.1135513878717,16.9573441496467,17.1225959432514
"Acads",18.0613435342255,18.6391654515998,18.3189132950529,17.6885178603483,17.6092238976812,17.2385199310741,18.0617906754171,18.1151126835272,17.7450719367197,18.075077933003,18.6932929440307,18.2440426111881,18.9546920526706,17.1554093040874,17.4891551322955,18.7765825381899,18.1832986061004,18.0262739276138,18.1254659260334,16.9778333726695,17.9288700435433,18.2961639511268,18.1561943300882,18.0258148862364,17.7416697519725,17.5707044520785,16.9802572626379
"Acadvl",18.5471755346265,19.3879023288895,19.1483343923642,18.6431829420038,18.8728091742505,18.6294025528821,19.0712780115839,19.1873147671159,19.0464436729482,19.3572450846996,19.6902972494371,19.4737327574901,19.6214493398888,19.452105491398,17.9238541065429,19.3623996815283,19.3574694616355,18.699727034072,19.4816705858493,18.7382818424312,19.1282195075242,18.9640944236934,18.4213477532577,19.3788663141444,19.4037370203336,18.7579782407245,18.9105947753145
"Acat1",18.5485667024073,18.8119234542038,18.6382900238082,18.1486061234933,18.0223701768659,18.7774031137311,18.9547718682089,18.7017318070394,18.4936238037788,18.530883363856,19.1686904164002,18.6211435707846,19.2910860465252,18.7889100313335,18.3634475229049,19.0128031574603,19.1782412096816,18.3106720830999,18.5688850717149,19.1571117672486,18.45103774349,19.2791903841386,18.594341900415,18.8777515626661,18.9992114754694,18.6544830798449,18.9348996945791
"Acat2",16.578605106734,15.9899281345368,16.010559026408,16.5540862012485,17.4179215057382,15.6082693655214,16.1890502466256,16.6609534470244,17.6299394565242,16.2406211161465,16.2490107269322,17.3126217999232,16.3345949849727,16.75564943298,16.3306122876919,15.940120302041,15.658142611238,17.7893064998695,15.843630829784,16.6024194144632,16.1496907279786,16.6092498181315,16.1370272219998,16.0733064587203,15.5386641373573,16.236607802279,17.3176463123693
"Acbd3",17.4517715373323,17.7708233325469,17.9357128160461,17.5908179062877,16.5545826404732,17.121437315957,17.8116384998509,17.1529119531896,17.2495547230938,17.6402198862656,18.0257946644831,17.8524427450248,17.7658822240007,16.5343227037674,16.6470040166832,18.1634184723931,18.1436366719278,16.8224549321364,17.4937071670945,16.3818824011452,16.8699152731726,18.2758982968676,17.402972830149,18.2049806167895,17.7245321492084,17.6441320350204,17.5486954101575
"Acin1",17.7932564795998,17.3424781254386,17.7268048889688,17.8877781358538,17.7184402515942,18.134128575586,17.8171836245518,17.4928904798437,17.6309991282037,17.6063754391304,17.3247570289813,17.580081563822,17.6568155839189,17.8043649157687,17.3484950139544,16.9955272843949,17.3940977342833,17.7459872355743,17.4667493261369,18.1217448286781,17.8758796360589,17.6003178715153,17.7749990493607,17.6157095316393,17.4007474221528,17.5500203039677,17.4301377215107
"Acly",20.8528958338909,19.4016687197502,20.3053113545317,19.8408879226342,19.6127926248501,19.0123658631546,19.4753849494337,19.5206794295,20.5410637527873,19.6057242666301,19.6921667209704,20.173542877695,19.1104545952923,20.783413159731,19.6820198953268,18.7380150231121,19.3654740401066,20.4192261208683,19.1737177308676,18.5384752712291,19.1401770991161,19.0631400909881,19.7710315955968,19.6002414145641,19.8624527386741,18.0937954482886,19.2874434858092
"Aco1",17.3854044995918,17.53473596775,18.1599919986884,17.9858131751564,17.0112849935493,16.0632363245143,17.3793256214183,17.1148490868995,18.0604021878092,17.807968430623,17.1704824100314,17.703359981439,17.2337827046485,17.9271002297302,16.6134483341095,17.6466445347893,17.4751896490063,18.26843517282,17.5946465536113,17.8412285928506,17.8473169794692,18.2323008534716,16.7345765085307,17.332844502163,17.338497030358,17.9449861163043,17.419509458333
"Aco2",19.9690790342666,20.2651994289012,20.4322939832598,20.1650620170305,20.0890082984544,20.3117920158288,20.2357047140776,20.3666537926628,20.2303117027825,20.2389124778427,20.443854145881,20.3419419161383,21.1323392658801,20.4703512502032,19.8834974450514,20.7227479162965,20.1530356457621,19.927748409742,20.3597054893497,20.1434803250065,20.1048449435895,20.7466039856129,20.3585740395118,19.8954568756307,20.2101153800127,20.2824504974012,20.0087649762995
"Acot13",19.2885078249671,18.0655167640443,17.6247534020792,17.4568364732714,18.0105540248152,18.0544444837249,18.1534373702573,18.6222340106412,17.7802582215572,17.3653117259559,18.6238805929502,18.0367986517373,18.4026071802914,18.6108276195342,17.9427118595407,18.7819543964799,18.2926118947141,17.4889589195929,17.2233953118909,17.5885035324579,17.1469813686165,17.3821910574389,17.7436891149525,17.8413753790944,18.2621811413553,17.3320631941507,17.7744480263194
"Acot2",17.9904111309895,18.2422609664362,17.5159393314203,17.9301292028029,17.5999002271547,18.5743481570243,18.2154732454672,17.9468496962718,17.9562238561897,17.8344931138221,18.0836241958937,16.5785842485801,18.0218458007776,17.9934199302063,18.1446013969005,17.7138061745905,17.0835777833556,16.4095160330487,17.7101139060715,17.7339456228844,17.028992351512,18.5981349953055,17.0349299860074,16.6699322012432,18.791709927845,17.2109752540254,17.5843462150871
"Acot7",17.3416899168128,17.6489216128905,17.407466423844,16.7324762784191,17.0858186515373,17.7284437035051,17.0078588882148,17.5186016527215,17.2703864143693,16.8637872028344,17.2053236679189,16.7384932054626,17.3212160150647,16.6833233441418,17.9816502703043,17.2325111536788,17.5402425017407,17.4910604461099,17.80595445026,15.8924909314663,17.1784539299423,16.9588730918696,17.215662327296,16.7634094526728,17.2429933131435,16.8472276976382,17.1044126629331
"Acot9",18.1920280509125,18.6520073993619,18.5340472787926,17.8213503341266,17.5136518091495,16.7020806086075,18.5091320281277,19.2224221972603,17.6355501699184,18.9387992762844,19.1671747650438,17.0761242998654,18.8448707826317,18.255760985497,15.9236042900706,18.8652203020167,18.835286730254,18.6184653285913,18.8770160494459,17.5580775405038,17.6881615007361,18.0521235887137,17.8831008486563,18.5301124632788,16.7794966227795,18.6999655705745,18.8429577076725
"Acox1",15.7476620119599,15.4400539635806,15.3865812631365,14.8864093334911,15.7158001958687,15.5365928681335,15.8378419469908,16.2255026088124,15.1588709127254,15.4916471101626,15.699611375548,15.5038176796959,15.1655068780023,15.7251555278076,15.5221921357182,15.5286087772982,15.5112491376204,15.9475750193641,15.9440271674551,15.7003083317765,15.2588491528354,14.9317877737399,15.7111261715897,15.5474926085623,15.0827288016174,15.1428958636147,15.5591732557459
