protein_id,PROTID
sp|Q91YE6|IPO9_MOUSE,Q91YE6
sp|P63085|MK01_MOUSE,P63085
sp|Q63844|MK03_MOUSE,Q63844
sp|Q9D3B1|HACD2_MOUSE,Q9D3B1
sp|Q3UVL4|VPS51_MOUSE,Q3UVL4
sp|Q9D1M4|MCA3_MOUSE,Q9D1M4
sp|Q3TW96|UAP1L_MOUSE,Q3TW96
sp|Q6ZQH8|NU188_MOUSE,Q6ZQH8
sp|O35226|PSMD4_MOUSE,O35226
sp|Q80X85|RT07_MOUSE,Q80X85
sp|Q9CQZ5|NDUA6_MOUSE,Q9CQZ5
sp|Q8BG32|PSD11_MOUSE,Q8BG32
sp|Q9EP69|SAC1_MOUSE,Q9EP69
sp|P0C7N9|PSMG4_MOUSE,P0C7N9
sp|P28352|APEX1_MOUSE,P28352
sp|P55264|ADK_MOUSE,P55264
sp|Q6P549|SHIP2_MOUSE,Q6P549
sp|Q6NV83|SR140_MOUSE,Q6NV83
sp|P18155|MTDC_MOUSE,P18155
sp|P97807|FUMH_MOUSE,P97807
sp|P26039|TLN1_MOUSE,P26039
sp|Q9CZW5|TOM70_MOUSE,Q9CZW5
sp|Q6PD26|PIGS_MOUSE,Q6PD26
sp|Q91X20|ASH2L_MOUSE,Q91X20
sp|Q60864|STIP1_MOUSE,Q60864
sp|Q61941|NNTM_MOUSE,Q61941
sp|P30999|CTND1_MOUSE,P30999
sp|Q8VH51|RBM39_MOUSE,Q8VH51
sp|P62878|RBX1_MOUSE,P62878
sp|Q9CRB9|MIC19_MOUSE,Q9CRB9
sp|Q9D8N0|EF1G_MOUSE,Q9D8N0
sp|Q8C1B7|SEP11_MOUSE,Q8C1B7
sp|P23492|PNPH_MOUSE,P23492
sp|Q91VK4|ITM2C_MOUSE,Q91VK4
sp|P35486|ODPA_MOUSE,P35486
sp|Q80TM9|NISCH_MOUSE,Q80TM9
sp|P28667|MRP_MOUSE,P28667
sp|Q9CPQ3|TOM22_MOUSE,Q9CPQ3
sp|Q9QXK3|COPG2_MOUSE,Q9QXK3
sp|Q9ERK4|XPO2_MOUSE,Q9ERK4
sp|Q8VDJ3|VIGLN_MOUSE,Q8VDJ3
sp|Q9CPV4|GLOD4_MOUSE,Q9CPV4
sp|Q8VCX5|MICU1_MOUSE,Q8VCX5
sp|P21107|TPM3_MOUSE,P21107
sp|Q9WVE8|PACN2_MOUSE,Q9WVE8
sp|Q6P9Z1|SMRD3_MOUSE,Q6P9Z1
sp|Q921U8|SMTN_MOUSE,Q921U8
sp|Q6ZQ38|CAND1_MOUSE,Q6ZQ38
sp|Q9QX47|SON_MOUSE,Q9QX47
sp|Q9CQN1|TRAP1_MOUSE,Q9CQN1
sp|P70296|PEBP1_MOUSE,P70296
sp|P62960|YBOX1_MOUSE,P62960
sp|F6ZDS4|TPR_MOUSE,F6ZDS4
sp|E9PVA8|GCN1_MOUSE,E9PVA8
sp|P52480|KPYM_MOUSE,P52480
sp|Q9WTX2|PRKRA_MOUSE,Q9WTX2
sp|O70133|DHX9_MOUSE,O70133
sp|P28660|NCKP1_MOUSE,P28660
sp|Q9QXS1|PLEC_MOUSE,Q9QXS1
sp|Q922D8|C1TC_MOUSE,Q922D8
sp|Q7TQI3|OTUB1_MOUSE,Q7TQI3
sp|Q6P5D8|SMHD1_MOUSE,Q6P5D8
sp|E9Q4P1|WDFY1_MOUSE,E9Q4P1
sp|Q8VDN2|AT1A1_MOUSE,Q8VDN2
sp|Q9JMH9|MY18A_MOUSE,Q9JMH9
sp|Q6PDI5|ECM29_MOUSE,Q6PDI5
sp|Q91YR7|PRP6_MOUSE,Q91YR7
sp|P67778|PHB_MOUSE,P67778
sp|P30416|FKBP4_MOUSE,P30416
sp|P27546|MAP4_MOUSE,P27546
sp|Q9D1J3|SARNP_MOUSE,Q9D1J3
