UNIPROT	Gene
E2JF22	Piezo1
E9Q555	Rnf213
O08585	Clta
O08740	Polr2j
O08756	Hsd17b10
O09167	Rpl21
O35658	C1qbp
O55023	Impa1
O55126	Nipsnap2
O70439	Stx7
O70492	Snx3
O70554	Sprr2b
O88384	Vti1b
O88447	Klc1
O88448	Klc2
O88643	Pak1
O88842	Fgd3
P01902	H2-K1
P02468	Lamc1
P04223	H2-K1
P08556	Nras
P11103	Parp1
P12367	Prkar2a
P14426	H2-D1
P16110	Lgals3
P16546	Sptan1
P17225	Ptbp1
P19536	Cox5b
P23198	Cbx3
P23506	Pcmt1
P24452	Capg
P25785	Timp2
P25976	Ubtf
P28798	Grn
P29391	Ftl1
P29533	Vcam1
P31230	Aimp1
P35288	Rab23
P35441	Thbs1
P35922	Fmr1
P39749	Fen1
P42225	Stat1
P46062	Sipa1
P46471	Psmc2
P47226	Tes
P47753	Capza1
P47802	Mtx1
P47964	Rpl36
P49718	Mcm5
P51569	Gla
P51912	Slc1a5
P52332	Jak1
P53026	Rpl10a
P62862	Fau
P63323	Rps12
P70295	Aup1
P97352	S100a13
P97798	Neo1
Q01730	Rsu1
Q05920	Pc
Q3TUH1	Tamm41
Q5SXY1	Specc1
Q5U431	Gpr39
Q5XG71	Utp20
Q60870	Reep5
Q61189	Clns1a
Q61316	Hspa4
Q61656	Ddx5
Q61838	Pzp
Q61941	Nnt
Q62193	Rpa2
Q62203	Sf3a2
Q64105	Spr
Q64213	Sf1
Q64331	Myo6
Q69ZR2	Hectd1
Q6A026	Pds5a
Q6NZC7	Sec23ip
Q6P6L0	Filip1l
Q6PFR5	Tra2a
Q80UM3	Naa15
Q80ZK0	Mrps10
Q8BG95	Ppp1r12b
Q8BSQ9	Pbrm1
Q8K353	Cystm1
Q8K4B0	Mta1
Q8R1A4	Dock7
Q8VCR7	Abhd14b
Q91WJ8	Fubp1
Q91YE6	Ipo9
Q91ZN5	Slc35b2
Q921I2	Klhdc4
Q922K7	Nop2
Q99J99	Mpst
Q99KN9	Clint1
Q99LD4	Gps1
Q99NB9	Sf3b1
Q9CPR4	Rpl17
Q9CRT8	Xpot
Q9CWM4	Pfdn1
Q9CXI5	Manf
Q9CY18	Snx7
Q9D7A6	Srp19
Q9D855	Uqcrb
Q9D8Y0	Efhd2
Q9EQ28	Pold3
Q9JHR7	Ide
Q9JJX6	P2rx4
Q9JLV6	Pnkp
Q9QXG2	Chm
Q9QXZ0	Macf1
Q9QY76	Vapb
Q9WTQ8	Timm23
Q9WV70	Noc2l
Q9WVL2	Stat2
Q9WVR4	Fxr2
Q9Z130	Hnrnpdl
